"name","code","ingornot"
"동화약품",20,"ing"
"우리은행",30,"ing"
"KR모터스",40,"ing"
"경방",50,"ing"
"메리츠화재",60,"ing"
"삼양홀딩스",70,"ing"
"하이트진로",80,"ing"
"유한양행",100,"ing"
"CJ대한통운",120,"ing"
"하이트진로홀딩스",140,"ing"
"두산",150,"ing"
"성창기업지주",180,"ing"
"대림산업",210,"ing"
"유유제약",220,"ing"
"일동홀딩스",230,"ing"
"한국타이어월드와이드",240,"ing"
"기아자동차",270,"ing"
"대유플러스",300,"ing"
"노루홀딩스",320,"ing"
"한화손해보험",370,"ing"
"삼화페인트공업",390,"ing"
"롯데손해보험",400,"ing"
"대원강업",430,"ing"
"조선내화",480,"ing"
"대동공업",490,"ing"
"가온전선",500,"ing"
"삼일제약",520,"ing"
"흥국화재",540,"ing"
"CS홀딩스",590,"ing"
"동아쏘시오홀딩스",640,"ing"
"천일고속",650,"ing"
"SK하이닉스",660,"ing"
"영풍",670,"ing"
"LS네트웍스",680,"ing"
"유수홀딩스",700,"ing"
"현대건설",720,"ing"
"이화산업",760,"ing"
"삼성화재해상보험",810,"ing"
"화천기공",850,"ing"
"강남제비스코",860,"ing"
"한화",880,"ing"
"보해양조",890,"ing"
"유니온",910,"ing"
"전방",950,"ing"
"한국주철관공업",970,"ing"
"DB하이텍",990,"ing"
"페이퍼코리아",1020,"ing"
"CJ",1040,"ing"
"JW중외제약",1060,"ing"
"대한방직",1070,"ing"
"만호제강",1080,"ing"
"LG상사",1120,"ing"
"대한제분",1130,"ing"
"국보",1140,"ing"
"유진증권",1200,"ing"
"금호전기",1210,"ing"
"동국제강",1230,"ing"
"GS글로벌",1250,"ing"
"남광토건",1260,"ing"
"부국증권",1270,"ing"
"골든브릿지증권",1290,"ing"
"백광산업",1340,"ing"
"삼성제약",1360,"ing"
"SG충방",1380,"ing"
"KG케미칼",1390,"ing"
"태원물산",1420,"ing"
"세아베스틸",1430,"ing"
"대한전선",1440,"ing"
"현대해상",1450,"ing"
"BYC",1460,"ing"
"삼부토건",1470,"ing"
"현대차증권",1500,"ing"
"SK증권",1510,"ing"
"동양",1520,"ing"
"동일방직",1530,"ing"
"조비",1550,"ing"
"제일연마",1560,"ing"
"금양",1570,"ing"
"동국실업",1620,"ing"
"종근당홀딩스",1630,"ing"
"대상",1680,"ing"
"신영증권",1720,"ing"
"SK네트웍스",1740,"ing"
"한양증권",1750,"ing"
"신화실업",1770,"ing"
"알루코",1780,"ing"
"대한제당",1790,"ing"
"오리온홀딩스",1800,"ing"
"삼화콘덴서공업",1820,"ing"
"삼호",1880,"ing"
"KISCO홀딩스",1940,"ing"
"한국유리공업",2000,"ing"
"코오롱",2020,"ing"
"아세아",2030,"ing"
"남영비비안",2070,"ing"
"경농",2100,"ing"
"고려산업",2140,"ing"
"도화엔지니어링",2150,"ing"
"삼양통상",2170,"ing"
"한국수출포장공업",2200,"ing"
"동성제약",2210,"ing"
"한일철강",2220,"ing"
"고려제강",2240,"ing"
"알보젠코리아",2250,"ing"
"롯데푸드",2270,"ing"
"한국제지",2300,"ing"
"아세아제지",2310,"ing"
"한진",2320,"ing"
"넥센타이어",2350,"ing"
"SH에너지화학",2360,"ing"
"케이씨씨",2380,"ing"
"한독",2390,"ing"
"범양건영",2410,"ing"
"세기상사",2420,"ing"
"삼익악기",2450,"ing"
"화성산업",2460,"ing"
"조흥",2600,"ing"
"제일파마홀딩스",2620,"ing"
"오리엔트바이오",2630,"ing"
"동일제강",2690,"ing"
"신일산업",2700,"ing"
"TCC동양",2710,"ing"
"국제약품",2720,"ing"
"보락",2760,"ing"
"진흥기업",2780,"ing"
"아모레퍼시픽그룹",2790,"ing"
"삼영무역",2810,"ing"
"선창산업",2820,"ing"
"미원상사",2840,"ing"
"신풍제지",2870,"ing"
"대유에이텍",2880,"ing"
"동양물산기업",2900,"ing"
"유성기업",2920,"ing"
"한국쉘석유",2960,"ing"
"금호산업",2990,"ing"
"부광약품",3000,"ing"
"혜인",3010,"ing"
"세아제강",3030,"ing"
"에이프로젠제약",3060,"ing"
"코오롱글로벌",3070,"ing"
"성보화학",3080,"ing"
"대웅",3090,"ing"
"일성신약",3120,"ing"
"디아이",3160,"ing"
"일신방직",3200,"ing"
"대원제약",3220,"ing"
"삼양식품",3230,"ing"
"태광산업",3240,"ing"
"흥아해운",3280,"ing"
"한일시멘트",3300,"ing"
"한국화장품제조",3350,"ing"
"쌍용양회공업",3410,"ing"
"유화증권",3460,"ing"
"유안타증권",3470,"ing"
"한진중공업홀딩스",3480,"ing"
"대한항공",3490,"ing"
"영진약품",3520,"ing"
"한화투자증권",3530,"ing"
