"name","code","ingornot"
"삼천당제약",250,"ing"
"중앙에너비스",440,"ing"
"신라섬유",1000,"ing"
"안국약품",1540,"ing"
"무림SP",1810,"ing"
"이화공영",1840,"ing"
"피에스텍",2230,"ing"
"삼일기업공사",2290,"ing"
"한탑",2680,"ing"
"신신제약",2800,"ing"
"선광",3100,"ing"
"대주산업",3310,"ing"
"하림지주",3380,"ing"
"포스코켐텍",3670,"ing"
"에이스침대",3800,"ing"
"한국가구",4590,"ing"
"창해에탄올",4650,"ing"
"대륙제관",4780,"ing"
"동국산업",5160,"ing"
"동진쎄미켐",5290,"ing"
"푸드웰",5670,"ing"
"대원산업",5710,"ing"
"한일사료",5860,"ing"
"매일홀딩스",5990,"ing"
"국영지앤엠",6050,"ing"
"피제이전자",6140,"ing"
"대양제지",6580,"ing"
"동구바이오제약",6620,"ing"
"서부T&D",6730,"ing"
"보성파워텍",6910,"ing"
"모헨즈",6920,"ing"
"푸른저축은행",7330,"ing"
"진양제약",7370,"ing"
"네이처셀",7390,"ing"
"영신금속",7530,"ing"
"대원",7680,"ing"
"대명코퍼레이션",7720,"ing"
"한일화학",7770,"ing"
"에스엠코어",7820,"ing"
"원풍물산",8290,"ing"
"원풍",8370,"ing"
"부스타",8470,"ing"
"행남사",8800,"ing"
"대동기어",8830,"ing"
"삼아제약",9300,"ing"
"포스코엠텍",9520,"ing"
"삼보산업",9620,"ing"
"코센",9730,"ing"
"엠에스씨",9780,"ing"
"대한광통신",10170,"ing"
"흥국",10240,"ing"
"쌍용정보통신",10280,"ing"
"오리콤",10470,"ing"
"경동제약",11040,"ing"
"형지I&C",11080,"ing"
"유니크",11320,"ing"
"서한",11370,"ing"
"세보엠이씨",11560,"ing"
"뉴인텍",12340,"ing"
"원일특강",12620,"ing"
"리드코프",12700,"ing"
"신일제약",12790,"ing"
"서연전자",12860,"ing"
"하이록코리아",13030,"ing"
"동원개발",13120,"ing"
"아진산업",13310,"ing"
"청보산업",13720,"ing"
"스페코",13810,"ing"
"아가방컴퍼니",13990,"ing"
"보령메디앙스",14100,"ing"
"원익큐브",14190,"ing"
"광림",14200,"ing"
"부방",14470,"ing"
"고려제약",14570,"ing"
"성광벤드",14620,"ing"
"오리엔탈정공",14940,"ing"
"삼륭물산",14970,"ing"
"코콤",15710,"ing"
"성우하이텍",15750,"ing"
"리더스코스메틱",16100,"ing"
"카카오M",16170,"ing"
"이테크건설",16250,"ing"
"큐캐피탈",16600,"ing"
"포비스티앤씨",16670,"ing"
"현대사료",16790,"ing"
"카스",16920,"ing"
"신원종합개발",17000,"ing"
"인터엠",17250,"ing"
"삼현철강",17480,"ing"
"세명전기",17510,"ing"
"대림제지",17650,"ing"
"데코앤이",17680,"ing"
"한국알콜",17890,"ing"
"유니슨",18000,"ing"
"진로발효",18120,"ing"
"지엠피",18290,"ing"
"삼목에스폼",18310,"ing"
"우진비앤지",18620,"ing"
"서울제약",18680,"ing"
"바른손",18700,"ing"
"그랜드백화점",19010,"ing"
"와이지-원",19210,"ing"
"일지테크",19540,"ing"
"SBI인베스트먼트",19550,"ing"
"제미니투자",19570,"ing"
"엠벤처투자",19590,"stop"
"글로본",19660,"ing"
"서연탑메탈",19770,"ing"
"에너토크",19990,"ing"
"대신정보통신",20180,"ing"
"대동금속",20400,"ing"
"시공테크",20710,"ing"
"대호피앤씨",21040,"ing"
"에이티넘인베스트",21080,"ing"
"KCC건설",21320,"ing"
"한국큐빅",21650,"ing"
"메이슨캐피탈",21880,"ing"
"포스코 ICT",22100,"ing"
"정산애강",22220,"ing"
"태광",23160,"ing"
"유진기업",23410,"ing"
"제일제강",23440,"ing"
"CNH",23460,"ing"
"삼보판지",23600,"ing"
"한국캐피탈",23760,"ing"
"플레이위드",23770,"ing"
"동일철강",23790,"ing"
"아트라스BX",23890,"ing"
"풍국주정",23900,"ing"
"대한약품",23910,"ing"
"흥구석유",24060,"ing"
"KB오토시스",24120,"ing"
"한일단조",24740,"ing"
"유성티엔에스",24800,"ing"
"이화전기",24810,"ing"
"세원물산",24830,"ing"
"갑을메탈",24840,"ing"
"피에스엠씨",24850,"ing"
"케이피에프",24880,"ing"
"경창산업",24910,"ing"
"PN풍년",24940,"ing"
"삼천리자전거",24950,"ing"
"시노펙스",25320,"ing"
"대성엘텍",25440,"ing"
"한국선재",25550,"ing"
"한국정보통신",25770,"ing"
"신라에스지",25870,"ing"
"케이씨피드",25880,"ing"
"동화기업",25900,"ing"
"동신건설",25950,"ing"
"아난티",25980,"ing"
"제이에스티나",26040,"ing"
"특수건설",26150,"ing"
"현대정보기술",26180,"ing"
"위너지스",26260,"stop"
"광진실업",26910,"ing"
"서울전자통신",27040,"ing"
"코리아나",27050,"ing"
"상보",27580,"ing"
"팜스토리",27710,"ing"
"대성창투",27830,"ing"
"미래SCI",28040,"ing"
"휴맥스홀딩스",28080,"ing"
"GS홈쇼핑",28150,"ing"
"에이치엘비",28300,"ing"
"바른테크놀로지",29480,"ing"
"코엔텍",29960,"ing"
"NICE평가정보",30190,"ing"
"에스마크",30270,"ing"
"드래곤플라이",30350,"ing"
"한글과컴퓨터",30520,"ing"
"원익홀딩스",30530,"ing"
"양지사",30960,"ing"
"아이즈비전",31310,"ing"
"에스에이엠티",31330,"ing"
"녹십자셀",31390,"ing"
"오스템",31510,"ing"
"엔에스엔",31860,"ing"
"피에스케이",31980,"ing"
"C&S자산관리",32040,"stop"
"아즈텍WB",32080,"ing"
"다우데이타",32190,"ing"
"삼일",32280,"ing"
"케이엠더블유",32500,"ing"
"TJ미디어",32540,"ing"
"피델릭스",32580,"ing"
"유비케어",32620,"ing"
"소프트센",32680,"ing"
"삼진",32750,"ing"
"엠젠플러스",32790,"ing"
"판타지오",32800,"ing"
"우리기술",32820,"ing"
"비트컴퓨터",32850,"ing"
"GMR 머티리얼즈",32860,"ing"
"원익",32940,"ing"
"동일기연",32960,"ing"
"바이온",32980,"ing"
"제이엠아이",33050,"ing"
"제룡전기",33100,"ing"
"이디",33110,"ing"
"디지틀조선",33130,"ing"
"엠케이전자",33160,"ing"
"시그네틱스",33170,"ing"
"모아텍",33200,"ing"
"인성정보",33230,"ing"
"코웰패션",33290,"ing"
"디케이디앤아이",33310,"ing"
"제이씨현시스템",33320,"ing"
"좋은사람들",33340,"ing"
"디에스티",33430,"ing"
"동성화인텍",33500,"ing"
"파라텍",33540,"ing"
"블루콤",33560,"ing"
"에이코넬",33600,"ing"
"네패스",33640,"ing"
"스카이문스테크놀로지",33790,"ing"
"티비씨",33830,"ing"
"파라다이스",34230,"ing"
"해성산업",34810,"ing"
"조아제약",34940,"ing"
"한국기업평가",34950,"ing"
"인터파크홀딩스",35080,"ing"
"프럼파스트",35200,"ing"
"더블유에프엠",35290,"ing"
"기산텔레콤",35460,"ing"
"마제스타",35480,"stop"
"KG이니시스",35600,"ing"
"솔본",35610,"ing"
"바른손이앤에이",35620,"ing"
"CJ ENM",35760,"ing"
"이지바이오",35810,"ing"
"서희건설",35890,"ing"
"JYP Ent.",35900,"ing"
"예림당",36000,"ing"
