Date,open,high,low,close,volume,adjclose
2018-08-14,4490,4525,4405,4485,22710,4485
2018-01-31,5070,5260,5020,5070,133636,5070
2018-01-30,5280,5310,5060,5150,166051,5150
2018-01-29,5510,5520,5270,5280,434313,5280
2018-01-26,5170,5600,5100,5270,422443,5270
2018-01-25,5300,5370,5140,5180,253734,5180
2018-01-24,5450,5590,5180,5180,757462,5180
2018-01-23,5160,5300,5050,5280,359847,5280
2018-01-22,4900,5690,4885,5200,1340565,5200
2018-01-19,5170,5200,4790,4800,485191,4800
2018-01-18,4755,5770,4740,5170,2528533,5170
2018-01-17,4530,4965,4515,4740,121148,4740
2018-01-16,4525,4605,4515,4530,12300,4530
2018-01-15,4580,4600,4515,4520,19142,4520
2018-01-12,4675,4675,4555,4565,13497,4565
2018-01-11,4555,4725,4520,4675,43480,4675
2018-01-10,4550,4650,4505,4555,21642,4555
2018-01-09,4560,4605,4520,4550,19493,4550
2018-01-08,4720,4720,4580,4580,30501,4580
2018-01-05,4635,4705,4620,4675,13614,4675
2018-01-04,4590,4685,4545,4635,27125,4635
2018-01-03,4570,4595,4530,4590,26072,4590
2018-01-02,4580,4580,4490,4570,10963,4570
2017-12-28,4600,4600,4510,4580,13726,4580
2017-12-27,4515,4655,4500,4600,18774,4600
2017-12-27,0,0,0,0,0,0
2017-12-26,4675,4675,4525,4630,27912,4560
2017-12-22,4605,4645,4535,4585,30105,4515
2017-12-21,4810,4910,4590,4640,83407,4569
2017-12-19,5030,5100,4850,4880,49417,4806
