,Adj Close,Close,High,Low,Open,Volume
2005-06-30,153800,31200,31200,37400,23757,36700
2005-07-01,35600,28500,31700,32100,24138,29650
2005-07-04,26500,30500,30650,31800,23338,31150
2005-07-05,43900,29600,32450,32700,24709,29700
2005-07-06,25800,31850,31850,32800,24252,31850
2005-07-07,21100,31750,31850,32850,24252,32850
2005-07-08,11900,31500,31900,32000,24290,32000
2005-07-11,15500,30850,31100,32050,23681,32050
2005-07-12,12600,30550,30550,31250,23262,31250
2005-07-13,43900,30000,34000,35100,25889,30950
2005-07-14,82400,33100,36800,39100,28021,33100
2005-07-15,21700,35000,35950,37400,27374,36250
2005-07-18,58900,35350,37200,39350,28326,35350
2005-07-19,14700,36200,37000,37800,28173,37200
2005-07-20,41600,36000,38100,39850,29011,36700
2005-07-21,14100,37400,38050,38550,28973,37700
2005-07-22,12800,35800,36500,37750,27793,37500
2005-07-25,6100,36000,36750,37300,27983,36150
2005-07-26,12500,35150,36750,37150,27983,36300
2005-07-27,4200,36000,36700,36750,27945,36750
2005-07-28,11400,35800,35950,37500,27374,36700
2005-07-29,11100,34500,35000,36000,26650,35950
2005-08-01,14500,33400,35000,35000,26650,35000
2005-08-02,13000,34000,34900,35450,26574,34600
2005-08-03,14000,34500,34600,36500,26346,34900
2005-08-04,31400,33150,34400,34950,26193,34600
2005-08-05,7100,33900,34350,34750,26155,34750
2005-08-08,4400,33800,34150,34350,26003,34350
2005-08-09,18700,33300,33800,34150,25737,34150
2005-08-10,35000,32450,32450,34500,24709,34050
2005-08-11,26800,30900,31300,32450,23833,32200
2005-08-12,13700,31150,31700,32200,24138,31400
2005-08-16,35600,29950,30000,32050,22843,31100
2005-08-17,16400,29200,29950,30200,22805,29500
2005-08-18,16800,28150,29000,30100,22082,30000
2005-08-19,11400,28400,28700,29250,21853,29250
2005-08-22,9000,28350,29600,29750,22538,28350
2005-08-23,5700,29150,29300,29800,22310,29600
2005-08-24,8000,28900,29200,29750,22234,29700
2005-08-25,7400,28650,28850,29300,21967,28750
2005-08-26,7200,28900,28900,29500,22005,29500
2005-08-29,26800,27800,28200,28800,21472,28800
2005-08-30,99600,25200,26500,27500,20178,27500
2005-08-31,25600,26450,27100,27150,20635,26900
2005-09-01,48300,26900,28000,28150,21320,27000
2005-09-02,18400,27800,28350,28450,21587,28000
2005-09-05,14900,28350,29000,29200,22082,28350
2005-09-06,8300,29000,29300,29500,22310,29000
2005-09-07,29200,28600,29550,29600,22500,29300
2005-09-08,6400,28900,28900,29850,22005,29850
2005-09-09,16400,28300,29400,29400,22386,28500
2005-09-12,23400,28700,29350,29500,22348,29350
2005-09-13,6800,28600,28600,29350,21777,29350
2005-09-14,27100,27700,28300,28800,21549,28800
2005-09-15,68500,27600,28150,29700,21434,28750
2005-09-16,40100,26800,26900,28300,20483,28150
2005-09-20,111700,26900,29200,29200,22234,27300
2005-09-21,168500,29200,31500,31500,23985,29200
2005-09-22,197600,31450,34500,34900,26270,31750
2005-09-23,50000,32500,34300,34800,26117,34500
2005-09-26,87900,34000,34300,36000,26117,34700
2005-09-27,76700,33200,36000,36500,27412,34050
2005-09-28,34900,35150,35800,36750,27259,35600
2005-09-29,31670,34700,35000,36250,26650,35900
2005-09-30,99600,34000,36100,37900,27488,34500
2005-10-04,50420,35500,36000,36800,27412,36800
2005-10-05,33430,35500,35900,36450,27336,35500
2005-10-06,20690,34050,34150,35800,26003,35400
2005-10-07,36830,33500,34250,34750,26079,33900
2005-10-10,30410,34000,34200,34800,26041,34500
2005-10-11,19990,33000,33150,34250,25242,33700
