"Date","Open","High","Low","Close","Volume","Adj_Close"
"2004-07-05",17400,17400,16680,0,0,16680
"2004-08-10",17280,17280,16440,0,0,16440
"2004-09-09",16560,16560,16200,0,0,16200
"2004-10-07",16560,16560,16320,0,0,16320
"2004-10-25",16920,16920,16560,0,0,16560
"2004-11-25",18960,18960,18600,0,0,18600
"2004-12-03",17400,17400,16800,0,0,16800
"2007-01-29",21000,21600,19800,0,67187,19800
"2007-12-28",18480,20640,18000,0,19246,20520
"2008-01-02",20520,23520,19440,0,25290,20880
"2008-01-03",20040,21600,20040,0,3223,21120
"2008-01-04",21120,22200,20520,0,4426,20880
"2008-01-07",21600,21600,19440,0,9336,19920
"2008-01-08",19920,20400,18240,0,12314,18360
"2008-01-09",18240,18720,17280,0,11517,18480
"2008-01-10",18360,19080,18000,0,4784,18960
"2008-01-11",19440,19440,17520,0,7802,19200
"2008-01-14",19200,19440,17520,0,12998,19200
"2008-01-15",18480,19320,18240,0,11899,18960
"2008-01-16",20280,20280,18480,0,5684,19320
"2008-01-17",19080,19920,18480,0,4544,18720
"2008-01-18",18720,19680,18120,0,12332,18720
"2008-01-21",18480,19200,17640,0,35439,17760
"2008-01-22",18120,18120,15120,0,28160,15360
"2008-01-23",15360,15840,14400,0,18965,14400
"2008-01-24",15360,16560,14400,0,21347,16560
"2008-01-25",18240,18840,16560,0,14614,17040
"2008-01-28",16800,16800,15480,0,35274,15480
"2008-01-29",15480,16440,15120,0,21681,15840
"2008-01-30",15960,15960,14520,0,12659,15240
"2008-01-31",16080,16200,14520,0,14584,16200
"2008-02-01",16440,17280,15480,0,11176,16080
"2008-02-04",15600,16080,15000,0,13845,15360
"2008-02-05",15360,16560,14760,0,15470,16320
"2008-02-11",16320,18720,15840,0,24469,18720
"2008-02-12",19080,20520,18360,0,25790,19200
"2008-02-13",19320,20160,18960,0,15915,19440
"2008-02-14",19680,19920,18480,0,12018,18960
"2008-02-15",18720,19680,17880,0,12022,19680
"2008-02-18",20160,20160,19080,0,7555,19920
"2008-02-19",19680,19920,18840,0,7604,19560
"2008-02-20",19920,19920,18840,0,9212,19200
"2008-02-21",19200,19320,18840,0,9891,19320
"2008-02-22",19320,19320,17640,0,11284,17880
"2008-02-25",17880,18720,16320,0,17896,16560
"2008-02-26",16440,17160,15960,0,14989,16680
"2008-02-27",16800,16800,15360,0,17865,16560
"2008-02-28",17040,17520,15840,0,10099,16440
"2008-02-29",16440,17520,15840,0,12278,16560
"2008-03-03",16320,17400,15000,0,11327,15600
"2008-03-04",15840,16200,14880,0,16302,15960
"2008-03-05",15960,15960,14160,0,22252,14880
"2008-03-06",14880,14880,13680,0,18887,14280
"2008-03-07",16080,16320,16080,0,31763,16320
"2008-03-10",18120,18240,14160,0,123023,14400
"2008-03-11",16200,16320,12720,0,134661,13320
"2008-03-12",13320,13320,11400,0,61245,11760
"2008-03-13",11760,12000,11280,0,33343,11280
"2008-03-14",11040,12120,10680,0,66897,12000
"2008-03-17",11760,13560,11520,0,93289,12240
"2008-03-18",12120,12240,11280,0,44142,11640
"2008-03-19",11880,12120,11520,0,33214,11760
"2008-03-20",11640,12120,11400,0,21342,11760
"2008-03-21",11880,11880,11520,0,15545,11520
"2008-03-24",11520,13080,11520,0,64824,12240
"2008-03-25",12480,12960,12240,0,23778,12600
"2008-03-26",12840,13320,12360,0,41057,12600
"2008-03-27",12720,13800,12720,0,151882,12960
"2008-03-28",13320,13560,12840,0,25600,13440
"2008-03-31",13440,13920,13200,0,25314,13200
"2008-04-01",13200,13200,12480,0,29960,12600
"2008-04-02",12600,13680,12480,0,20909,12720
"2008-04-03",12840,13080,12600,0,16588,13080
"2008-04-04",13080,13440,12840,0,29389,13080
"2008-04-07",13440,13440,12960,0,17312,12960
"2008-04-08",12960,13200,12600,0,22520,13200
"2008-04-10",13320,13560,12600,0,19405,13200
"2008-04-11",13320,15120,13200,0,119616,15120
