Date,Open,High,Low,Close,Volume,Adj_Close
2008-08-01,7500,8000,6590,6590,1006044,6015
2008-08-04,6300,6500,5800,5970,790840,5449
2008-08-05,6020,6720,6020,6250,883122,5705
2008-08-06,6400,6570,6270,6500,439904,5933
2008-08-07,6410,6580,6180,6490,391097,5924
2008-08-08,6330,7130,6330,7040,801926,6426
2008-08-11,7130,7750,7050,7100,892375,6481
2008-08-12,7040,7070,6410,6550,568946,5979
2008-08-13,6550,6700,6440,6470,304218,5906
2008-08-14,6360,6590,6360,6430,220006,5869
2008-08-18,6310,6420,6050,6150,317239,5614
2008-08-19,6010,6150,5850,5850,289075,5340
2008-08-20,5940,6290,5910,6080,368389,5550
2008-08-21,6100,6190,5910,5930,135605,5413
2008-08-22,5930,5980,5340,5780,308385,5276
2008-08-25,5800,5850,5610,5610,136754,5121
2008-08-26,5380,5500,5360,5360,146940,4892
2008-08-27,5340,5500,5340,5380,171564,4911
2008-08-28,5470,5470,4980,5050,224078,4609
2008-08-29,5100,5150,4745,4745,280698,4331
2008-09-01,4565,4760,4035,4050,733594,3697
2008-09-02,3920,4205,3660,3715,316493,3391
2008-09-03,3675,4015,3675,4010,376363,3660
2008-09-04,4100,4320,4010,4235,284406,3865
2008-09-05,4080,4330,4030,4270,181992,3897
2008-09-08,4350,4650,4350,4600,206882,4199
2008-09-09,4650,4650,4420,4530,163296,4135
2008-09-10,4370,4585,4370,4530,88244,4135
2008-09-11,4475,4555,4420,4460,149433,4071
2008-09-12,4525,4745,4450,4695,213038,4285
2008-09-16,4200,4330,3995,4005,211299,3655
2008-09-17,4240,4590,4190,4590,316688,4189
2008-09-18,4740,4990,4570,4680,2784,4272
2008-09-19,4850,4920,4680,4740,558776,4326
2008-09-22,4775,4880,4500,4555,518933,4158
2008-09-23,4490,4610,4420,4580,323470,4180
2008-09-24,4595,4685,4410,4425,463200,4039
2008-09-25,4425,4450,4280,4290,332300,3916
2008-09-26,4330,4420,4130,4200,268467,3833
2008-09-29,4380,4645,4370,4515,893044,4121
2008-09-30,4155,4400,4120,4350,379651,3970
2008-10-01,4410,5000,4410,4650,2169708,4244
2008-10-02,4770,5130,4695,4835,1528045,4413
2008-10-06,4925,5000,4385,4400,973900,4016
2008-10-07,4350,4470,4100,4400,436200,4016
2008-10-08,4160,4255,3860,3885,586100,3546
2008-10-09,3880,4400,3800,3985,790508,3637
2008-10-10,3800,3800,3400,3585,581980,3272
2008-10-13,3720,4050,3720,3980,560903,3633
2008-10-14,4280,4390,4170,4225,620749,3856
2008-10-15,4060,4210,4050,4085,265281,3728
2008-10-16,3750,3985,3480,3480,668581,3176
2008-10-17,3730,3800,3300,3370,400358,3076
2008-10-20,3530,3630,3215,3505,319835,3199
2008-10-21,3625,3720,3470,3525,269860,3217
2008-10-22,3505,3600,3110,3200,352836,2921
2008-10-23,2975,2975,2720,2720,419325,2482
2008-10-24,2610,2825,2315,2315,480741,2113
2008-10-27,2180,2420,2005,2130,533280,1944
2008-10-28,1960,2445,1960,2410,563200,2199
2008-10-29,2580,2710,2050,2290,645803,2090
2008-10-30,2510,2630,2350,2630,593211,2400
2008-10-31,2650,2945,2590,2750,709431,2510
2008-11-03,2850,3135,2780,3065,825622,2797
2008-11-04,3060,3240,2920,3100,639721,2829
2008-11-05,3260,3315,2950,3095,991239,2825
2008-11-06,2850,2900,2635,2635,499185,2405
2008-11-07,2380,2750,2335,2750,897402,2510
2008-11-10,2780,2905,2730,2820,730248,2574
2008-11-11,2770,2835,2680,2695,549800,2460
2008-11-12,2595,2640,2500,2620,500037,2391
2008-11-13,2415,2500,2380,2460,314391,2245
2008-11-14,2625,2665,2500,2600,296032,2373
2008-11-17,2520,2635,2510,2605,339750,2377
2008-11-18,2530,2595,2405,2430,376741,2218
2008-11-19,2450,2470,2235,2290,329070,2090
2008-11-20,2090,2140,1950,1980,399177,1807
2008-11-21,1845,2120,1810,2100,703155,1916
2008-11-24,2120,2205,2015,2015,417520,1839
2008-11-25,2125,2180,1950,1970,398861,1798
2008-11-26,2050,2240,2020,2230,882515,2035
2008-11-27,2350,2350,2200,2200,557269,2008
2008-11-28,2250,2350,2170,2260,478437,2063
2008-12-01,2345,2345,2230,2230,161620,2035
2008-12-02,2045,2400,2020,2285,644385,2085
2008-12-03,2330,2450,2260,2330,1482969,2126
2008-12-04,2355,2425,2200,2250,614250,2053
2008-12-05,2235,2270,2125,2180,430371,1990
2008-12-08,2250,2505,2235,2505,1024823,2286
2008-12-09,2850,2880,2840,2880,762844,2628
2008-12-10,3280,3310,2955,3310,4557205,3021
2008-12-11,3500,3530,3195,3400,6185559,3103
2008-12-12,3380,3910,3285,3535,7664423,3226
2008-12-15,3765,4000,3665,3710,3973992,3386
2008-12-16,3740,3740,3415,3605,2769678,3290
2008-12-17,3710,3740,3400,3450,1720409,3149
2008-12-18,3480,3965,3380,3965,4837312,3619
2008-12-19,3900,3935,3670,3670,3484622,3350
2008-12-22,3780,3915,3605,3710,2126223,3386
2008-12-23,3665,3845,3645,3735,1376219,3409
2008-12-24,3735,3800,3400,3400,1269693,3103
2008-12-26,3410,3535,3310,3320,725626,3030
2008-12-29,3320,3400,3170,3215,608379,2934
2008-12-30,3265,3630,3260,3355,1460624,3062
2009-01-02,3475,3615,3410,3600,1122368,3286
2009-01-05,3640,3760,3510,3665,1655750,3345
2009-01-06,3710,3860,3630,3660,1394883,3341
