Date,Open,High,Low,Close,Volume,Adj Close
2018-11-29,14400,15000,11200,13050,4339097,13050
2018-11-30,13300,14500,12750,12850,1234072,12850
2018-12-03,13000,13100,12100,12400,421120,12400
2018-12-04,12400,12600,11800,12200,396527,12200
2018-12-05,12000,12450,11800,11950,237174,11950
2018-12-06,12000,12250,11600,11650,194664,11650
2018-12-07,11900,11900,10950,11150,262727,11150
2018-12-10,11000,11200,10600,10800,187019,10800
2018-12-11,10900,11100,10300,10850,286938,10850
2018-12-12,10850,11400,10550,10750,239285,10750
2018-12-13,10900,11250,10700,11050,277753,11050
2018-12-14,10950,10950,10000,10050,287016,10050
2018-12-17,9970,10150,9500,9560,178206,9560
2018-12-18,9250,9440,8990,9080,225178,9080
2018-12-19,9150,9350,9000,9170,122959,9170
2018-12-20,9130,9670,9020,9250,124164,9250
2018-12-21,9210,9710,9150,9470,129314,9470
2018-12-24,9470,9780,9410,9530,81618,9530
2018-12-26,9230,9360,8990,9000,96937,9000
2018-12-27,9100,9250,9030,9030,50452,9030
2018-12-28,9160,9590,9090,9450,87991,9450
2019-01-02,9700,9710,9240,9420,49754,9420
2019-01-03,9400,9560,9090,9150,63413,9150
2019-01-04,9050,9910,8930,9520,78335,9520
2019-01-07,9610,9690,9400,9410,56231,9410
2019-01-08,9410,9470,9230,9270,33084,9270
2019-01-09,9290,9630,9250,9480,67181,9480
2019-01-10,9670,10050,9450,9490,298298,9490
2019-01-11,9630,9830,9460,9650,137266,9650
2019-01-14,9730,9980,9590,9700,111882,9700
