Date,Open,High,Low,Close,Adj Close,Volume
2014-12-24,2015,2020,2010,2010,2010,180432
2014-12-26,2020,2030,2010,2030,2030,47676
2014-12-29,2020,2030,2020,2030,2030,25828
2014-12-30,2025,2025,2025,2025,2025,2431
2015-01-02,2025,2050,2025,2040,2040,10384
2015-01-05,2045,2050,2040,2045,2045,24490
2015-01-06,2035,2050,2035,2040,2040,13165
2015-01-07,2050,2065,2050,2065,2065,12170
2015-01-08,2070,2150,2070,2150,2150,30186
2015-01-09,2150,2150,2095,2100,2100,42328
2015-01-12,2110,2140,2100,2140,2140,53616
2015-01-13,2105,2140,2090,2140,2140,14401
2015-01-14,2135,2150,2105,2140,2140,25505
2015-01-15,2150,2375,2150,2300,2300,193779
2015-01-16,2295,2490,2295,2420,2420,114375
2015-01-19,2420,2470,2380,2420,2420,36283
2015-01-20,2410,2570,2400,2430,2430,47556
2015-01-21,2410,2420,2345,2380,2380,26136
2015-01-22,2450,2450,2305,2390,2390,6155
2015-01-23,2380,2390,2300,2390,2390,11238
2015-01-26,2400,2400,2350,2390,2390,7718
2015-01-27,2385,2385,2300,2300,2300,16555
2015-01-28,2215,2495,2215,2325,2325,6239
2015-01-29,2485,2485,2160,2375,2375,35966
2015-01-30,2360,2390,2360,2390,2390,7409
2015-02-02,2440,2440,2420,2420,2420,682
2015-02-03,2360,2415,2350,2410,2410,15215
2015-02-04,2410,2420,2335,2415,2415,554
2015-02-05,2410,2410,2325,2390,2390,3159
2015-02-06,2385,2390,2360,2385,2385,14191
2015-02-09,2400,2600,2380,2420,2420,15440
2015-02-10,2320,2440,2320,2405,2405,9945
2015-02-11,2400,2415,2375,2415,2415,11847
2015-02-12,2400,2430,2395,2405,2405,5112
2015-02-13,2440,2440,2400,2440,2440,8590
2015-02-16,2425,2440,2410,2440,2440,22735
2015-02-17,2445,2530,2410,2430,2430,43558
2015-02-23,2430,2495,2355,2470,2470,8736
2015-02-24,2450,2550,2445,2510,2510,19022
2015-02-25,2575,2575,2505,2550,2550,14389
2015-02-26,2600,2695,2565,2575,2575,106426
2015-02-27,2650,2650,2535,2570,2570,47648
2015-03-02,2650,2650,2545,2570,2570,38792
2015-03-03,2570,2570,2570,2570,2570,0
2015-03-04,2570,2570,2570,2570,2570,0
2015-03-05,2570,2570,2570,2570,2570,0
2015-03-06,2570,2570,2570,2570,2570,0
2015-03-09,2570,2570,2570,2570,2570,0
2015-03-10,2570,2570,2570,2570,2570,0
2015-03-11,2570,2570,2570,2570,2570,0
2015-03-12,2570,2570,2570,2570,2570,0
2015-03-13,2570,2570,2570,2570,2570,0
2015-03-16,2570,2570,2570,2570,2570,0
2015-03-17,2570,2570,2570,2570,2570,0
2015-03-18,2570,2570,2570,2570,2570,0
2015-03-19,2570,2570,2570,2570,2570,0
2015-03-20,2570,2570,2570,2570,2570,0
2015-03-23,2570,2570,2570,2570,2570,0
2015-03-24,2570,2570,2570,2570,2570,0
2015-03-25,2570,2570,2570,2570,2570,0
2015-03-26,2570,2570,2570,2570,2570,0
2015-03-27,2570,2570,2570,2570,2570,0
2015-03-30,2570,2570,2570,2570,2570,0
2015-03-31,2570,2570,2570,2570,2570,0
2015-04-01,2570,2570,2570,2570,2570,0
2015-04-02,2570,2570,2570,2570,2570,0
2015-04-03,2570,2570,2570,2570,2570,0
2015-04-06,2570,2570,2570,2570,2570,0
2015-04-07,2570,2570,2570,2570,2570,0
2015-04-08,2570,2570,2570,2570,2570,0
2015-04-09,2570,2570,2570,2570,2570,0
2015-04-10,2570,2570,2570,2570,2570,0
2015-04-13,2570,2570,2570,2570,2570,0
2015-04-14,2570,2570,2570,2570,2570,0
2015-04-15,2570,2570,2570,2570,2570,0
2015-04-16,2570,2570,2570,2570,2570,0
2015-04-17,2570,2570,2570,2570,2570,0
2015-04-20,2570,2570,2570,2570,2570,0
2015-04-21,2570,2570,2570,2570,2570,0
2015-04-22,2570,2570,2570,2570,2570,0
2015-04-23,2570,2570,2570,2570,2570,0
2015-04-24,2570,2570,2570,2570,2570,0
2015-04-27,2570,2570,2570,2570,2570,0
2015-04-28,2570,2570,2570,2570,2570,0
2015-04-29,2570,2570,2570,2570,2570,0
2015-04-30,2570,2570,2570,2570,2570,0
2015-05-04,2570,2570,2570,2570,2570,0
2015-05-06,2570,2570,2570,2570,2570,0
2015-05-07,2570,2570,2570,2570,2570,0
2015-05-08,2570,2570,2570,2570,2570,0
2015-05-11,2570,2570,2570,2570,2570,0
2015-05-12,2570,2570,2570,2570,2570,0
2015-05-13,2570,2570,2570,2570,2570,0
2015-05-14,2570,2570,2570,2570,2570,0
2015-05-15,2570,2570,2570,2570,2570,0
2015-05-18,2570,2570,2570,2570,2570,0
2015-05-19,2570,2570,2570,2570,2570,0
2015-05-20,2570,2570,2570,2570,2570,0
2015-05-21,2570,2570,2570,2570,2570,0
2015-05-22,2570,2570,2570,2570,2570,0
2015-05-26,2570,2570,2570,2570,2570,0
2015-05-27,2570,2570,2570,2570,2570,0
2015-05-28,2570,2570,2570,2570,2570,0
2015-05-29,2570,2570,2570,2570,2570,0
2015-06-01,2610,3000,2580,2750,2750,1150240
2015-06-02,2750,3050,2730,3000,3000,435421
2015-06-03,2980,3280,2930,3105,3105,110791
2015-06-04,3155,3350,3035,3095,3095,67672
2015-06-05,3175,3180,2900,3000,3000,124058
2015-06-08,3050,3050,2850,2930,2930,86410
2015-06-09,2905,2990,2875,2920,2920,50581
2015-06-10,2850,2935,2780,2800,2800,76618
2015-06-11,2840,2990,2740,2920,2920,65858
2015-06-12,2930,2995,2805,2910,2910,55018
2015-06-15,2935,3220,2830,2990,2990,82245
