,Adj Close,Close,High,Low,Open,Volume
2018-01-01,3620,3620,3620,3620,3620,0
2018-02-01,4240,4240,4365,4145,4365,73331
2018-02-02,4340,4340,4400,4070,4335,98279
2018-02-05,4235,4235,4330,4170,4325,25491
2018-02-06,4010,4010,4230,3930,4150,86672
2018-02-07,4170,4170,4325,4085,4265,87016
2018-02-08,4280,4280,4305,4110,4110,51821
2018-02-09,4105,4105,4265,3955,4265,82205
2018-02-12,4240,4240,4340,3955,4265,116454
2018-02-13,4830,4830,4880,4340,4380,504368
2018-03-09,1025,1025,1120,990,1020,4334312
2018-03-12,1030,1030,1060,1005,1030,804721
2018-03-13,1010,1010,1035,992,1030,471130
2018-03-14,1025,1025,1030,1000,1025,193163
2018-03-15,1015,1015,1030,980,1030,362084
2018-03-16,1000,1000,1030,994,1030,311126
2018-03-19,890,890,1010,875,1000,1889732
2018-03-20,900,900,929,869,896,628999
2018-03-21,907,907,930,897,900,538883
2018-03-22,848,848,910,635,907,6755656
2018-03-23,774,774,806,691,692,1976384
2018-03-26,764,764,877,710,710,3932004
2018-03-27,781,781,855,764,779,1175820
2018-03-28,785,785,792,753,777,463763
2018-03-29,805,805,825,777,785,300717
2018-03-30,813,813,815,801,805,317357
2018-04-02,808,808,813,793,813,172245
2018-04-03,811,811,840,801,835,199545
2018-04-04,808,808,825,781,825,257690
2018-04-05,778,778,800,763,785,302517
2018-04-06,779,779,800,766,778,186406
2018-04-09,775,775,802,770,778,117832
2018-04-10,769,769,778,750,778,139076
2018-04-11,770,770,799,744,773,683493
2018-04-12,828,828,855,750,767,1120868
2018-04-13,821,821,850,784,835,494500
2018-04-16,814,814,842,789,842,426376
2018-04-17,801,801,812,786,812,407690
2018-04-18,829,829,829,775,787,701576
2018-04-19,845,845,848,775,834,1026944
2018-04-20,863,863,883,800,848,876316
2018-04-23,885,885,899,868,890,795388
2018-04-24,917,917,917,875,888,1102582
2018-04-25,947,947,956,917,919,789377
2018-04-26,917,917,955,909,955,466929
2018-04-27,947,947,950,895,925,355589
2018-04-30,955,955,964,912,955,848964
2018-05-02,968,968,969,926,955,516648
2018-05-03,959,959,969,944,964,304410
2018-05-04,951,951,965,906,959,378874
2018-05-08,994,994,998,946,951,1160816
2018-05-09,1020,1020,1040,980,998,1589113
2018-05-10,1010,1010,1045,996,1030,512990
2018-05-11,984,984,1010,965,1005,417561
2018-05-14,1005,1005,1015,980,984,331547
2018-05-15,993,993,1030,991,1025,293300
2018-05-16,895,895,1000,895,997,747508
2018-05-17,894,894,925,852,891,975764
2018-05-18,880,880,919,865,919,504887
2018-05-21,893,893,902,854,902,393978
2018-05-23,894,894,908,856,908,659305
2018-05-24,895,895,900,862,900,703429
2018-05-25,912,912,913,868,872,434818
2018-05-28,920,920,936,912,915,400215
2018-05-29,900,900,939,890,928,274785
2018-05-30,869,869,900,854,892,262067
2018-05-31,849,849,878,834,878,344517
2018-06-01,844,844,852,823,852,377647
2018-06-04,829,829,843,792,843,534902
2018-06-05,803,803,826,799,817,219411
2018-06-07,800,800,818,790,808,269175
2018-06-08,785,785,806,778,806,360339
2018-06-11,771,771,795,769,794,387026
2018-06-12,770,770,781,750,767,267721
2018-06-14,740,740,791,729,771,328362
2018-06-15,712,712,744,708,744,345638
2018-06-18,712,712,722,691,722,561847
2018-06-19,710,710,736,688,710,231085
2018-06-20,703,703,728,697,708,188579
2018-06-21,709,709,720,687,698,353432
2018-06-22,705,705,713,685,713,531677
2018-06-25,752,752,757,694,705,413917
2018-06-26,743,743,795,725,769,438364
2018-06-27,715,715,748,713,748,273268
2018-06-28,702,702,729,692,704,233745
2018-06-29,728,728,748,664,702,408364
2018-07-02,704,704,740,682,737,443860
2018-07-03,690,690,711,685,710,191799
2018-07-04,695,695,700,688,690,96717
2018-07-05,678,678,710,677,696,178632
2018-07-06,671,671,700,651,684,148028
2018-07-09,652,652,695,646,672,239165
2018-07-10,623,623,664,610,652,665347
2018-07-11,621,621,633,601,633,465445
2018-07-12,642,642,645,615,621,445378
2018-07-13,631,631,650,625,644,232929
2018-07-16,636,636,640,615,634,342437
2018-07-17,654,654,660,633,633,259794
2018-07-18,761,761,815,663,664,4024802
2018-07-19,703,703,771,700,766,743872
2018-07-20,701,701,762,699,709,334464
2018-07-23,679,679,714,666,700,156415
2018-07-24,662,662,679,648,679,282209
2018-07-26,679,679,684,660,675,149428
2018-07-27,683,683,693,674,681,118643
2018-07-30,674,674,686,660,683,101320
2018-07-31,755,755,785,675,679,1421944
2018-08-01,822,822,828,780,810,2375932
2018-08-02,800,800,832,793,822,690759
2018-08-03,818,818,841,800,800,642653
2017-12-18,3900,3900,4020,3895,3920,48564
2017-12-19,3980,3980,4050,3870,3870,32731
2017-12-21,3700,3700,3945,3655,3820,60501
2017-12-22,3640,3640,3700,3570,3570,39116
2017-12-26,3630,3630,3650,3410,3640,33268
2017-12-27,3600,3600,3600,3470,3530,34355
2017-12-28,3620,3620,3665,3440,3665,26834
2018-01-02,3660,3660,3700,3545,3695,17113
