Date,Open,High,Low,Close,Volume,Adj Close
2018-01-02,3675,3745,3665,3710,78988,3710
2018-01-03,3675,3780,3610,3735,167707,3735
2018-01-04,3680,3745,3540,3580,153093,3580
2018-01-05,3580,3620,3560,3570,93159,3570
2018-01-08,3550,3585,3470,3500,209277,3500
2018-01-09,3475,3530,3455,3490,140889,3490
2018-01-10,3490,3560,3475,3560,106798,3560
2018-01-11,3560,3580,3505,3580,104161,3580
2018-01-12,3555,3630,3490,3565,250632,3565
2018-01-15,3565,3570,3480,3550,165421,3550
2018-01-16,3510,3595,3450,3575,216183,3575
2018-01-17,3575,3745,3500,3740,364758,3740
2018-01-18,3750,3830,3650,3785,191166,3785
2018-01-19,3800,3870,3730,3870,273429,3870
2018-01-22,3870,3910,3800,3910,232169,3910
2018-01-23,3910,3935,3855,3915,159824,3915
2018-01-24,3915,3915,3805,3805,233002,3805
2018-01-25,3825,3845,3780,3840,142660,3840
2018-01-26,3870,3945,3835,3940,252961,3940
2018-01-29,3940,3945,3820,3840,183918,3840
2018-01-30,3805,3840,3760,3780,195762,3780
2018-01-31,3750,3835,3675,3760,209263,3760
2018-02-01,3760,3920,3760,3890,198131,3890
2018-02-02,3890,3920,3795,3820,147531,3820
2018-02-05,3800,4180,3770,3960,1039804,3960
2018-02-06,3905,3965,3735,3960,592204,3960
2018-02-07,3995,4535,3995,4285,3473413,4285
2018-02-08,4255,4295,4055,4110,1312674,4110
2018-02-09,4145,4195,3905,3910,1191637,3910
2018-02-12,4145,4195,3735,3735,593367,3735
2018-02-13,3750,3800,3680,3680,264237,3680
2018-02-14,3685,3790,3650,3780,195326,3780
2018-02-19,3845,3955,3815,3950,315478,3950
2018-02-20,3955,3955,3860,3875,182751,3875
2018-02-21,3830,4010,3825,3990,324654,3990
2018-02-22,4020,4020,3930,3985,153306,3985
2018-02-23,3980,3990,3925,3970,127208,3970
2018-02-26,3975,4130,3960,3980,379840,3980
2018-02-27,4040,4050,3895,3915,223735,3915
2018-02-28,3915,3915,3800,3835,177544,3835
2018-03-02,3855,3855,3740,3840,157531,3840
2018-03-05,3820,3850,3755,3755,105217,3755
2018-03-06,3755,3860,3755,3860,111085,3860
2018-03-08,3850,3960,3800,3900,203716,3900
2018-03-09,3900,3995,3850,3910,192246,3910
2018-03-12,3985,3990,3905,3950,138566,3950
2018-03-13,3950,3965,3875,3880,97026,3880
2018-03-14,3880,3930,3845,3880,73704,3880
2018-03-15,3845,3950,3800,3840,88900,3840
2018-03-16,3860,3865,3800,3840,134848,3840
2018-03-19,3840,3865,3795,3795,74096,3795
2018-03-20,3760,3815,3760,3810,58949,3810
2018-03-21,3800,3830,3780,3785,99499,3785
2018-03-22,3785,3835,3755,3755,96548,3755
2018-03-23,3730,3795,3445,3575,161326,3575
2018-03-26,3500,3775,3500,3765,165017,3765
2018-03-27,3765,3810,3730,3780,73876,3780
2018-03-28,3730,3775,3680,3750,77303,3750
2018-03-29,3780,3830,3735,3830,134142,3830
2018-03-30,3815,3860,3800,3835,108480,3835
2018-04-02,3850,3855,3805,3805,101877,3805
2018-04-03,3830,3850,3780,3815,137811,3815
2018-04-04,3910,4300,3900,4205,2225279,4205
2018-04-05,4185,4185,3990,4065,419,4065
2018-04-06,4065,4065,3860,3905,479303,3905
2018-04-09,3890,3950,3860,3860,226424,3860
2018-04-10,3865,3880,3815,3830,195188,3830
2018-04-11,3850,3850,3805,3810,164191,3810
2018-04-12,3800,3830,3760,3785,248748,3785
2018-04-13,3785,3805,3750,3785,78989,3785
2018-04-16,3790,3790,3750,3790,104339,3790
2018-04-17,3790,3790,3755,3780,65466,3780
2018-04-18,3790,3860,3790,3855,163598,3855
2018-04-19,3860,3935,3860,3935,244784,3935
2018-04-20,3995,4010,3920,3920,297095,3920
2018-04-23,3915,4040,3915,4010,473461,4010
2018-04-24,4110,4120,3935,3935,383371,3935
2018-04-25,3885,3930,3860,3870,149596,3870
2018-04-26,3875,3980,3875,3975,129194,3975
2018-04-27,3985,3990,3895,3950,118860,3950
2018-04-30,3970,4020,3860,4020,326396,4020
2018-05-02,4015,4020,3950,3955,366035,3955
2018-05-03,4050,4050,3930,3930,200005,3930
2018-05-04,3935,3965,3900,3910,159717,3910
2018-05-08,3925,3925,3825,3825,185850,3825
