Date,Open,High,Low,Close,Volume,Adj_Close
2017-12-18,2990,3295,2945,3295,38613507,0
2017-12-19,3150,3950,2670,3155,115524185,0
2017-12-21,4080,4520,3675,4010,101289569,0
2017-12-22,4080,4240,3265,3300,33420381,0
2017-12-26,3510,3840,3200,3395,35492860,0
2017-12-27,3530,4200,3430,3985,50224892,0
2017-12-28,3980,4350,3135,3355,61607636,0
2018-01-01,3355,3355,3355,3355,0,0
2018-01-02,3560,4360,3500,4360,45431164,0
2018-01-03,4720,5350,4305,4905,72025792,0
2018-01-04,4905,4905,4905,4905,0,0
2018-01-05,6370,6370,5760,6370,30875791,0
2018-01-08,6370,6370,6370,6370,0,0
2018-01-09,6550,8150,6500,7770,48761088,0
2018-01-10,8400,10100,8400,9500,37834665,0
2018-01-11,7900,8800,6650,6650,64545238,0
2018-01-12,7660,8050,5720,7230,100627422,0
2018-01-15,7820,9390,7400,9390,54141341,0
2018-01-16,9090,9890,8530,9340,49832314,0
2018-01-17,8720,9030,7110,7500,48636619,0
2018-01-18,8110,8720,7540,7850,41548447,0
2018-01-19,7830,8050,6340,6850,29761874,0
2018-01-22,6890,7210,6000,6530,29097065,0
2018-01-23,6950,7840,6750,7250,56595513,0
2018-01-24,7110,7490,6830,6960,21724514,0
2018-01-25,7190,7240,6800,7080,14284149,0
2018-01-26,6920,7020,6630,6750,8915598,0
2018-01-29,6600,7000,6050,6750,27397321,0
2018-01-30,6730,7100,6620,6800,20466205,0
2018-01-31,6580,6780,6210,6270,10213524,0
2018-02-01,6270,6890,5870,6330,33362999,0
2018-02-02,6040,6230,5570,5780,13842810,0
2018-02-05,5550,6100,5430,5480,8949116,0
2018-02-06,5010,5100,4505,4900,12647434,0
2018-02-07,5250,5950,5060,5160,30361689,0
2018-02-08,5380,5820,5190,5530,13563150,0
2018-02-09,5450,5920,5420,5640,12362924,0
2018-02-12,5450,5920,5740,5810,12458556,0
2018-02-13,5670,5990,5270,5430,13706748,0
2018-02-14,5410,5570,5260,5460,5396749,0
2018-02-19,5780,5840,5600,5730,6015779,0
2018-02-20,5820,6020,5700,6020,9059099,0
2018-02-21,6600,7110,6350,6390,34350613,0
2018-02-22,6250,6330,6050,6110,7044637,0
2018-02-23,5970,6030,5800,5860,5526281,0
2018-02-26,5830,5930,5590,5610,3907087,0
2018-02-27,5700,5770,5410,5450,3498968,0
2018-02-28,5530,5630,5270,5360,3048593,0
2018-03-02,5360,5540,5260,5450,3007555,0
2018-03-05,5530,6080,5420,5650,6390700,0
2018-03-06,5740,5750,5360,5480,3047257,0
2018-03-08,4900,5080,4835,5050,2791103,0
2018-03-09,5010,5020,4855,4870,3009605,0
2018-03-12,4900,5000,4835,4945,1700329,0
2018-03-13,4945,4975,4840,4860,1636762,0
2018-03-14,4900,5120,4870,4910,3373238,0
2018-03-15,4850,4855,4600,4640,3374182,0
2018-03-16,4635,4770,4600,4665,2171540,0
2018-03-19,4625,4625,4270,4380,3671285,0
2018-03-20,4645,4800,4415,4425,5587476,0
2018-03-21,4550,4590,4395,4410,2338163,0
2018-03-22,4395,4485,4180,4255,3741175,0
2018-03-23,4245,4365,4080,4155,2349221,0
2018-03-26,4125,4415,4125,4340,2108183,0
2018-03-27,4360,4390,4180,4210,1589832,0
2018-03-28,4080,4175,3920,3950,2608117,0
2018-03-29,4000,4350,3960,4070,4572950,0
2018-03-30,4045,4290,3970,4235,2227389,0
2018-04-02,4320,4340,4000,4050,2003570,0
2018-04-03,4085,4280,4050,4280,3247338,0
2018-04-04,4370,4375,4020,4055,2978820,0
2018-04-05,4070,4075,3840,3885,3143989,0
2018-04-06,3890,3945,3640,3670,3098100,0
2018-04-09,3680,3825,3675,3720,2200778,0
2018-04-10,3720,4065,3565,3905,5308610,0
2018-04-11,3885,3945,3800,3835,1731294,0
2018-04-12,3890,4320,3850,4150,11909066,0
2018-04-13,4295,4430,4005,4030,7328671,0
2018-04-16,4125,4345,4105,4170,5939571,0
2018-04-17,4200,4410,4100,4325,5655748,0
2018-04-18,4355,4460,4185,4380,4440786,0
2018-04-19,4395,4580,4225,4355,5868580,0
2018-04-20,4470,4580,4375,4395,4189019,0
2018-04-23,4400,4400,4155,4180,3141380,0
2018-04-24,4170,5430,4170,5430,28813572,0
2018-04-25,5800,6040,4980,5200,45599702,0
2018-04-26,4950,5250,4800,5090,13619445,0
2018-04-27,5190,5680,5030,5290,21585484,0
2018-04-30,5290,5340,4980,5090,6908988,0
2018-05-02,4840,4950,4610,4640,6158680,0
2018-05-03,4720,5040,4720,4850,8999818,0
2018-05-04,5150,5230,4850,4850,5240175,0
2018-05-08,4730,4795,4380,4380,3369752,0
2018-05-09,4295,4495,4230,4385,3237140,0
2018-05-10,4420,4645,4370,4525,2917683,0
2018-05-11,4460,4505,4350,4420,2720602,0
2018-05-14,4120,4240,4015,4100,6627332,0
2018-05-15,4180,4280,4080,4095,3063147,0
2018-05-16,4040,4165,3830,3885,3637160,0
2018-05-17,3900,4075,3875,3915,2359651,0
2018-05-18,3920,4065,3855,4000,1761145,0
2018-05-21,4090,4090,3960,3970,1095279,0
2018-05-23,3895,3950,3850,3855,1385805,0
2018-05-24,3815,3890,3710,3825,1515245,0
2018-05-25,3775,3920,3705,3740,1772322,0
2018-05-28,3670,3850,3630,3810,1710447,0
2018-05-29,3800,3800,3650,3660,1905986,0
2018-05-30,3745,4110,3720,3790,8362976,0
2018-05-31,3830,3835,3670,3680,1884839,0
2018-06-01,3700,3820,3655,3770,1560118,0
2018-06-04,3775,4085,3770,3805,4446807,0
2018-06-05,3800,3830,3700,3700,1331017,0
2018-06-07,3745,3900,3710,3825,1980393,0
2018-06-08,3825,3965,3770,3840,2072835,0
2018-06-11,3665,3750,3580,3605,2485341,0
2018-06-12,3635,3655,3560,3570,1374983,0
2018-06-14,3585,3630,3365,3405,1490655,0
2018-06-15,3475,3565,3415,3450,965908,0
2018-06-18,3405,3465,3210,3265,1283225,0
2018-06-19,3310,3390,3120,3120,1057399,0
2018-06-20,3120,3310,3085,3180,2471922,0
2018-06-21,3225,3240,3125,3175,711840,0
2018-06-22,3190,3840,3150,3385,13559598,0
2018-06-25,3260,3325,3175,3205,1763971,0
2018-06-26,3200,3205,3115,3115,1112085,0
2018-06-27,3100,3175,3020,3020,1072905,0
2018-06-28,3000,3050,2785,2800,1984445,0
2018-06-29,2760,2905,2750,2860,1341479,0
2018-07-02,2930,3060,2735,2735,3191229,0
2018-07-03,2840,2985,2800,2940,3874555,0
2018-07-04,2970,3180,2905,2970,5126923,0
2018-07-05,2985,3080,2845,2990,2304581,0
2018-07-06,3030,3080,2930,2995,1668639,0
2018-07-09,3045,3200,3005,3090,3627683,0
2018-07-10,3090,3240,3065,3160,1959972,0
2018-07-11,3080,3555,3005,3150,11246146,0
2018-07-12,3150,3230,3030,3035,1883498,0
2018-07-13,3045,3155,3005,3050,1949415,0
2018-07-16,3075,3145,3035,3075,1217293,0
2018-07-17,3250,3995,3170,3995,41891431,0
2018-07-18,4155,4705,4135,4320,51810844,0
2018-07-19,4380,4385,4035,4190,13993267,0
2018-07-20,4155,4640,4090,4155,29799737,0
2018-07-23,3990,4530,3950,4230,21070247,0
2018-07-24,4420,4515,4140,4260,14535224,0
2018-07-26,4510,4695,4365,4665,13840349,0
2018-07-27,4500,4585,4320,4320,8008806,0
2018-07-30,4330,4550,4330,4375,8916158,0
2018-07-31,4480,4510,4305,4330,5636501,0
2018-08-01,4110,4260,4085,4120,6093340,0
2018-08-02,4145,4325,4085,4185,7634636,0
2018-08-03,4160,4200,4020,4065,3685925,0
2018-08-06,4015,4300,4015,4120,6503216,0
2018-08-07,4055,4085,3900,3910,3787737,0
2018-08-08,3875,3985,3805,3820,3737424,0
2018-08-09,3750,3830,3675,3760,3681768,0
2018-08-10,3835,3870,3675,3690,3206908,0
2018-08-13,3680,3705,3475,3525,3316242,0
2018-08-14,3520,3630,3470,3495,2926817,0
2018-08-16,3495,3645,3475,3525,3661312,0
2018-08-17,3525,3665,3505,3640,2880502,0
2018-08-20,3680,3705,3610,3645,1970382,0
2018-08-21,3610,3700,3590,3645,2671110,0
2018-08-22,3695,4240,3685,3960,27595817,0
2018-08-23,3795,3950,3780,3820,6179007,0
2018-08-24,3860,3975,3845,3865,5790297,0
2018-08-27,3865,3890,3770,3800,2158511,0
2018-08-28,3945,4150,3895,3915,12562524,0
2018-08-29,4115,4200,3970,3975,7221520,0
2018-08-30,3975,4110,3920,4040,4240840,0
2018-08-31,4055,4085,4010,4030,2455280,0
2018-09-03,4155,4170,4020,4030,3203237,0
