,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2018-02-01,1290.0,1290.0,1315.0,1265.0,1275.0,340147.0,
2018-02-02,1250.0,1250.0,1300.0,1250.0,1290.0,249174.0,
2018-02-05,1220.0,1220.0,1240.0,1200.0,1220.0,208520.0,
2018-02-06,1195.0,1195.0,1195.0,1150.0,1175.0,302933.0,
2018-02-07,1190.0,1190.0,1220.0,1185.0,1200.0,134772.0,
2018-02-08,1220.0,1220.0,1220.0,1185.0,1195.0,57024.0,
2018-02-09,1215.0,1215.0,1300.0,1180.0,1195.0,499614.0,
2018-02-12,1235.0,1235.0,1245.0,1180.0,1195.0,103468.0,
2018-02-13,1240.0,1240.0,1260.0,1215.0,1240.0,119181.0,
2018-02-14,1230.0,1230.0,1245.0,1215.0,1245.0,90034.0,
2018-02-19,1225.0,1225.0,1240.0,1215.0,1230.0,106926.0,
2018-02-20,1250.0,1250.0,1270.0,1210.0,1225.0,227813.0,
2018-02-21,1275.0,1275.0,1280.0,1245.0,1255.0,252186.0,
2018-02-22,1360.0,1360.0,1385.0,1260.0,1260.0,2463760.0,
2018-02-23,1400.0,1400.0,1490.0,1345.0,1355.0,3685886.0,
2018-02-26,1370.0,1370.0,1420.0,1370.0,1400.0,493077.0,
2018-02-27,1370.0,1370.0,1380.0,1315.0,1375.0,511625.0,
2018-02-28,1360.0,1360.0,1395.0,1325.0,1370.0,383403.0,
2018-03-02,1365.0,1365.0,1440.0,1330.0,1350.0,812070.0,
2018-03-05,1360.0,1360.0,1395.0,1320.0,1390.0,290665.0,
2018-03-06,1360.0,1360.0,1420.0,1335.0,1415.0,441235.0,
2018-03-08,1395.0,1395.0,1430.0,1375.0,1390.0,542281.0,
2018-03-09,1385.0,1385.0,1395.0,1360.0,1395.0,385806.0,
2018-03-12,1405.0,1405.0,1425.0,1385.0,1395.0,334661.0,
2018-03-13,1370.0,1370.0,1420.0,1370.0,1410.0,264052.0,
2018-03-14,1355.0,1355.0,1385.0,1355.0,1375.0,164005.0,
2018-03-15,1315.0,1315.0,1370.0,1310.0,1355.0,416491.0,
2018-03-16,1395.0,1395.0,1450.0,1315.0,1320.0,2153976.0,
2018-03-19,1415.0,1415.0,1430.0,1375.0,1400.0,373196.0,
2018-03-20,1410.0,1410.0,1420.0,1385.0,1410.0,234857.0,
2018-03-21,1350.0,1350.0,1420.0,1350.0,1400.0,373987.0,
2018-03-22,1355.0,1355.0,1405.0,1350.0,1350.0,296293.0,
2018-03-23,1280.0,1280.0,1350.0,1260.0,1350.0,344977.0,
2018-03-26,1270.0,1270.0,1275.0,1220.0,1265.0,171361.0,
2018-03-28,1355.0,1355.0,1365.0,1305.0,1335.0,265694.0,
2018-03-29,1355.0,1355.0,1370.0,1325.0,1355.0,136796.0,
2018-03-30,1360.0,1360.0,1385.0,1345.0,1350.0,200361.0,
2018-04-02,1385.0,1385.0,1435.0,1370.0,1370.0,871665.0,
2018-04-03,1385.0,1385.0,1390.0,1345.0,1390.0,197096.0,
2018-04-04,1420.0,1420.0,1445.0,1370.0,1375.0,638243.0,
2018-04-05,1405.0,1405.0,1480.0,1405.0,1445.0,1051041.0,
2018-04-06,1365.0,1365.0,1430.0,1365.0,1405.0,233305.0,
2018-04-09,1335.0,1335.0,1375.0,1335.0,1355.0,205680.0,
2018-04-10,1345.0,1345.0,1350.0,1285.0,1335.0,272541.0,
2018-04-11,1375.0,1375.0,1380.0,1330.0,1345.0,218555.0,
2018-04-12,1330.0,1330.0,1375.0,1325.0,1375.0,190747.0,
2018-04-13,1390.0,1390.0,1410.0,1335.0,1335.0,341398.0,
2018-04-16,1420.0,1420.0,1420.0,1390.0,1405.0,428739.0,
2018-04-17,1405.0,1405.0,1440.0,1385.0,1430.0,265300.0,
2018-04-18,1400.0,1400.0,1435.0,1390.0,1405.0,433413.0,
2018-04-19,1465.0,1465.0,1480.0,1385.0,1390.0,901496.0,
2018-04-20,1470.0,1470.0,1515.0,1440.0,1490.0,688176.0,
2018-04-23,1440.0,1440.0,1510.0,1435.0,1500.0,545519.0,
2018-04-24,1460.0,1460.0,1470.0,1430.0,1450.0,299055.0,
2018-04-25,1420.0,1420.0,1490.0,1410.0,1450.0,325171.0,
2018-04-26,1450.0,1450.0,1465.0,1420.0,1425.0,336461.0,
2018-04-27,1450.0,1450.0,1500.0,1420.0,1485.0,327505.0,
2018-04-30,1410.0,1410.0,1470.0,1400.0,1450.0,253705.0,
2018-05-02,1490.0,1490.0,1515.0,1370.0,1430.0,937838.0,
2018-05-03,1465.0,1465.0,1545.0,1465.0,1510.0,696876.0,
2018-05-04,1475.0,1475.0,1490.0,1435.0,1465.0,246868.0,
2018-05-08,1385.0,1385.0,1510.0,1375.0,1470.0,538684.0,
2018-05-09,1370.0,1370.0,1400.0,1330.0,1385.0,291602.0,
2018-05-10,1370.0,1370.0,1370.0,1340.0,1365.0,173410.0,
2018-05-11,1425.0,1425.0,1550.0,1360.0,1375.0,1703151.0,
2018-05-14,1470.0,1470.0,1470.0,1415.0,1425.0,306764.0,
2018-05-15,1440.0,1440.0,1470.0,1420.0,1470.0,172753.0,
2018-05-16,1385.0,1385.0,1425.0,1380.0,1405.0,367521.0,
2018-05-17,1380.0,1380.0,1425.0,1380.0,1395.0,122810.0,
2018-05-18,1415.0,1415.0,1420.0,1380.0,1395.0,141964.0,
2018-05-21,1410.0,1410.0,1455.0,1395.0,1420.0,100895.0,
2018-05-23,1400.0,1400.0,1445.0,1390.0,1410.0,85445.0,
2018-05-24,1355.0,1355.0,1405.0,1355.0,1400.0,232175.0,
2018-05-25,1295.0,1295.0,1350.0,1285.0,1350.0,300528.0,
2018-05-28,1355.0,1355.0,1375.0,1295.0,1300.0,233450.0,
2018-05-29,1320.0,1320.0,1360.0,1305.0,1340.0,146422.0,
2018-05-30,1275.0,1275.0,1320.0,1265.0,1320.0,235034.0,
2018-05-31,1315.0,1315.0,1380.0,1280.0,1280.0,131395.0,
2018-06-01,1300.0,1300.0,1325.0,1265.0,1325.0,188912.0,
2018-06-04,1300.0,1300.0,1305.0,1285.0,1300.0,78239.0,
2018-06-05,1275.0,1275.0,1300.0,1270.0,1295.0,111734.0,
2018-06-07,1265.0,1265.0,1285.0,1220.0,1275.0,245632.0,
2018-06-08,1265.0,1265.0,1270.0,1240.0,1270.0,66054.0,
2018-06-11,1260.0,1260.0,1285.0,1250.0,1250.0,162749.0,
2018-06-12,1235.0,1235.0,1265.0,1235.0,1255.0,135782.0,
2018-06-14,1210.0,1210.0,1260.0,1205.0,1235.0,145582.0,
2018-06-15,1200.0,1200.0,1230.0,1200.0,1210.0,126243.0,
2018-06-18,1135.0,1135.0,1210.0,1135.0,1195.0,257457.0,
2018-06-19,1150.0,1150.0,1190.0,1135.0,1140.0,116754.0,
2018-06-20,1190.0,1190.0,1200.0,1135.0,1135.0,67356.0,
2018-06-21,1180.0,1180.0,1195.0,1155.0,1170.0,48191.0,
2018-06-22,1155.0,1155.0,1180.0,1135.0,1180.0,97241.0,
2018-06-25,1155.0,1155.0,1175.0,1140.0,1150.0,45908.0,
2018-06-26,1165.0,1165.0,1165.0,1135.0,1140.0,64802.0,
2018-06-27,1170.0,1170.0,1185.0,1150.0,1165.0,43168.0,
2018-06-28,1160.0,1160.0,1200.0,1145.0,1145.0,51982.0,
2018-06-29,1160.0,1160.0,1165.0,1135.0,1140.0,90605.0,
2018-07-02,1120.0,1120.0,1175.0,1115.0,1145.0,107275.0,
2018-07-03,1070.0,1070.0,1160.0,1045.0,1100.0,275557.0,
2018-07-04,1075.0,1075.0,1105.0,1045.0,1045.0,112234.0,
2018-07-05,1040.0,1040.0,1085.0,1035.0,1085.0,141239.0,
2018-07-06,1065.0,1065.0,1065.0,1005.0,1040.0,64527.0,
2018-07-09,1035.0,1035.0,1060.0,1035.0,1055.0,58753.0,
2018-07-10,1050.0,1050.0,1050.0,1000.0,1020.0,107581.0,
2018-07-11,1090.0,1090.0,1090.0,1035.0,1050.0,82825.0,
2018-07-12,1075.0,1075.0,1100.0,1060.0,1090.0,62363.0,
2018-07-13,1090.0,1090.0,1110.0,1065.0,1090.0,41605.0,
2018-07-16,1110.0,1110.0,1210.0,1085.0,1085.0,1014750.0,
2018-07-17,1110.0,1110.0,1120.0,1090.0,1110.0,80812.0,
2018-07-18,1095.0,1095.0,1120.0,1080.0,1120.0,91625.0,
2018-07-19,1090.0,1090.0,1110.0,1065.0,1110.0,47699.0,
2018-07-20,1080.0,1080.0,1100.0,1050.0,1090.0,28797.0,
2018-07-23,1005.0,1005.0,1075.0,1000.0,1075.0,118498.0,
2018-07-24,1000.0,1000.0,1030.0,990.0,990.0,98619.0,
2018-07-26,1020.0,1020.0,1020.0,1000.0,1020.0,52323.0,
2018-07-27,1030.0,1030.0,1050.0,1015.0,1020.0,27184.0,
2018-07-30,1050.0,1050.0,1050.0,1025.0,1025.0,34695.0,
2018-07-31,1045.0,1045.0,1060.0,1035.0,1045.0,25220.0,
2018-08-01,1095.0,1095.0,1245.0,1045.0,1045.0,4263399.0,
2018-08-02,1070.0,1070.0,1090.0,1055.0,1080.0,405543.0,
2017-12-18,1385.0,1385.0,1460.0,1375.0,1435.0,541264.0,
2017-12-19,1280.0,1280.0,1380.0,1250.0,1380.0,738346.0,
2017-12-21,1185.0,1185.0,1255.0,1165.0,1220.0,569998.0,
2017-12-22,1195.0,1195.0,1205.0,1135.0,1190.0,576359.0,
2017-12-26,1195.0,1195.0,1220.0,1180.0,1180.0,171006.0,
2017-12-27,1205.0,1205.0,1220.0,1180.0,1195.0,255509.0,
2017-12-28,1165.0,1165.0,1250.0,1150.0,1205.0,731150.0,
2018-01-02,1195.0,1195.0,1220.0,1165.0,1165.0,575271.0,
2018-01-03,1230.0,1230.0,1235.0,1190.0,1195.0,472333.0,
2018-01-04,1205.0,1205.0,1245.0,1200.0,1245.0,524087.0,
2018-01-05,1210.0,1210.0,1230.0,1200.0,1205.0,271951.0,
2018-01-08,1195.0,1195.0,1210.0,1180.0,1210.0,223932.0,
2018-01-09,1170.0,1170.0,1205.0,1155.0,1190.0,444502.0,
2018-01-10,1185.0,1185.0,1190.0,1155.0,1175.0,356091.0,
2018-01-11,1200.0,1200.0,1220.0,1175.0,1190.0,514944.0,
2018-01-12,1185.0,1185.0,1235.0,1185.0,1195.0,579554.0,
2018-01-15,1190.0,1190.0,1195.0,1180.0,1185.0,174856.0,
2018-01-16,1210.0,1210.0,1210.0,1190.0,1190.0,153142.0,
2018-01-17,1245.0,1245.0,1245.0,1190.0,1205.0,567394.0,
2018-01-18,1230.0,1230.0,1245.0,1220.0,1235.0,208388.0,
2018-01-19,1225.0,1225.0,1240.0,1220.0,1225.0,207936.0,
2018-01-22,1250.0,1250.0,1260.0,1220.0,1225.0,281869.0,
2018-01-23,1250.0,1250.0,1335.0,1235.0,1250.0,1297671.0,
