,Adj Close,Close,High,Low,Open,Volume
2018-02-01,675,675,713,673,678,9030375
2018-02-02,639,639,690,620,675,8081299
2018-02-05,588,588,640,587,632,6564735
2018-02-06,584,584,589,518,570,6442610
2018-02-07,551,551,608,551,608,2490455
2018-02-08,570,570,593,555,555,4944734
2018-02-09,569,569,585,545,560,3827529
2018-02-12,549,549,585,546,560,3726148
2018-02-13,531,531,568,519,557,6140494
2018-02-14,524,524,539,518,539,2208798
2018-02-19,514,514,536,510,535,3410121
2018-02-20,497,497,518,491,513,5853616
2018-02-21,473,473,498,460,495,6496664
2018-02-22,614,614,614,570,580,29612529
2018-02-23,545,545,670,540,651,46239994
2018-02-26,510,510,553,499,552,13600018
2018-02-27,508,508,534,506,507,8564048
2018-02-28,492,492,508,484,507,6304290
2018-03-02,491,491,507,470,482,6458032
2018-03-05,480,480,501,480,497,3366506
2018-03-06,478,478,496,474,477,3542619
2018-03-08,473,473,475,461,465,3197800
2018-03-09,473,473,478,465,478,3244559
2018-03-12,477,477,477,466,473,2973793
2018-03-13,503,503,547,477,482,24381730
2018-03-14,506,506,510,492,498,4822307
2018-03-15,500,500,514,498,505,4979296
2018-03-16,505,505,546,500,545,10034556
2018-03-19,483,483,511,482,506,4134919
2018-03-20,481,481,490,472,479,3216933
2018-03-21,475,475,492,474,481,3397864
2018-03-22,425,425,481,425,478,10596088
2018-04-13,530,530,552,498,530,57728646
2018-04-16,488,488,548,487,540,17896523
2018-04-17,454,454,489,439,488,16365657
2018-04-18,454,454,469,444,457,8479756
2018-04-19,484,484,498,448,455,21098331
2018-04-20,471,471,488,465,484,4814349
2018-04-23,452,452,471,450,464,4926084
2018-04-24,444,444,461,444,458,3649789
2018-04-25,436,436,449,434,449,3792610
2018-04-26,432,432,443,429,436,3524159
2018-04-27,433,433,443,429,439,3019652
2018-04-30,457,457,457,414,431,7643048
2018-05-02,435,435,457,430,457,4354837
2018-05-03,430,430,436,423,436,3104722
2018-05-04,412,412,430,409,430,5686874
2018-05-08,408,408,416,399,412,6155286
2018-05-09,408,408,412,400,411,2411106
2018-05-10,420,420,424,404,407,4392769
2018-05-11,421,421,423,411,422,3001028
2018-05-14,413,413,424,409,416,2509431
2018-05-15,412,412,419,410,416,1915689
2018-05-16,397,397,411,395,410,4112168
2018-05-17,392,392,403,391,403,3158496
2018-05-18,403,403,404,390,393,2906991
2018-05-21,403,403,409,390,406,2949927
2018-05-23,400,400,406,397,403,2380200
2018-05-24,403,403,408,398,401,1988413
2018-05-25,393,393,403,390,399,2634804
2018-05-28,394,394,397,390,395,2200892
2018-05-29,403,403,418,389,392,6755011
2018-05-30,389,389,408,388,405,3267272
2018-05-31,390,390,394,387,390,2168754
2018-06-01,397,397,407,387,391,3244508
2018-06-04,426,426,431,396,402,9209618
2018-06-05,503,503,535,429,433,105688061
2018-06-07,432,432,492,430,490,23274844
2018-06-08,420,420,439,414,431,8451640
2018-06-11,414,414,450,412,425,16627140
2018-06-12,399,399,418,397,418,5672674
2018-06-14,395,395,407,393,393,3423628
2018-06-15,395,395,405,391,393,3794390
2018-06-18,383,383,398,382,396,2795438
2018-06-19,381,381,385,377,384,1944043
2018-06-20,377,377,382,375,381,2369114
2018-06-21,353,353,378,352,376,5029725
2018-06-22,365,365,370,354,355,2500800
2018-06-25,359,359,367,355,367,1452735
2018-06-26,354,354,360,350,360,2070878
2018-06-27,348,348,371,346,356,6427756
2018-06-28,330,330,353,328,353,4701250
2018-06-29,332,332,341,326,329,2894368
2018-07-02,313,313,336,313,336,3193073
2018-07-03,326,326,327,313,318,3523262
2018-07-04,330,330,339,323,323,1917957
2018-07-05,315,315,333,311,333,2274387
2018-07-06,325,325,325,308,315,2548192
2018-07-09,321,321,331,317,321,1671873
2018-07-10,328,328,333,319,322,1531812
2018-07-11,319,319,333,316,328,1225118
2018-07-12,324,324,325,312,319,1032061
2018-07-13,341,341,348,321,325,8091122
2018-07-16,350,350,371,331,341,11917245
2018-07-17,345,345,356,344,353,1994937
2018-07-18,368,368,393,337,350,19723034
2018-07-19,376,376,432,351,370,34979333
2018-07-20,339,339,373,338,369,8062434
2018-07-23,319,319,342,318,339,3401872
2018-07-24,319,319,332,313,315,3979046
2018-07-26,331,331,339,318,326,5122312
2018-07-27,339,339,340,330,331,3307051
2018-07-30,340,340,347,335,341,3454955
2018-07-31,332,332,342,330,340,2913246
2018-08-01,336,336,357,325,336,8196109
2018-08-02,342,342,346,328,335,4925415
2018-01-29,650,650,650,466,500,62064198
2018-01-30,721,721,767,697,735,69737587
2018-01-31,676,676,725,668,700,13340602
2018-08-03,336,336,345,335,344,2731633
