Date,Open,High,Low,Close,Volume,Adj Close
2018-01-01,2020,2020,2020,2020,0,2020
2018-01-02,2025,2025,2020,2025,54300,2025
2018-01-03,2020,2030,2020,2030,71838,2030
2018-01-04,2025,2040,2020,2035,13451,2035
2018-01-05,2035,2035,2025,2025,29148,2025
2018-01-08,2030,2040,2025,2030,55884,2030
2018-01-09,2030,2030,2030,2030,0,2030
2018-01-10,2025,2030,2025,2030,105384,2030
2018-01-11,2030,2030,2030,2030,104454,2030
2018-01-12,2030,2035,2030,2035,126878,2035
2018-01-15,2030,2030,2030,2030,21080,2030
2018-01-16,2035,2035,2030,2030,45595,2030
2018-01-17,2030,2035,2030,2035,121151,2035
2018-01-18,2030,2035,2030,2030,74849,2030
