,Adj Close,Close,High,Low,Open,Volume
2000-01-04,100,34200,38200,38200,38200,36200
2000-01-05,100,37800,38000,38150,38000,38150
2000-01-06,30,38000,39450,39450,39450,38000
2000-01-07,0,39000,39000,39000,39000,39000
2000-01-10,0,38850,38850,38850,38850,38850
2000-01-11,100,38000,38000,38800,38000,38800
2000-01-12,200,35200,39900,39900,39900,38000
2000-01-13,40,35100,39800,39800,39800,35100
2000-01-14,0,39650,39650,39650,39650,39650
2000-01-17,30,36150,36150,42700,36150,39700
2000-01-18,50,34800,40800,40850,40800,40850
2000-01-19,100,35100,37500,39200,37500,36100
2000-01-20,0,37000,37000,37000,37000,37000
2000-01-21,0,37000,37000,37000,37000,37000
2000-01-24,0,36900,36900,36900,36900,36900
2000-01-25,50,32600,35000,36400,35000,35000
2000-01-26,20,35000,35000,36350,35000,36350
2000-01-27,30,34200,34200,34200,34200,34200
2000-01-28,50,32000,32250,32800,32250,32800
2000-01-31,400,32300,32500,33900,32500,33900
2000-02-01,200,32000,33500,34700,33500,34700
2000-02-02,100,33500,36000,36000,36000,33500
2000-02-03,70,36400,36400,36400,36400,36400
2000-02-04,0,36400,36400,36400,36400,36400
2000-02-07,400,37500,39500,39800,39500,37500
2000-02-08,300,33600,34000,36500,34000,33800
2000-02-09,200,33100,34000,36900,34000,34500
2000-02-10,70,34000,34000,34000,34000,34000
2000-02-11,40,31200,31650,31650,31650,31200
2000-02-14,200,31150,33000,36000,33000,31150
2000-02-15,100,31500,31500,31500,31500,31500
2000-02-16,30,31100,34000,34000,34000,31100
2000-02-17,0,34000,34000,34000,34000,34000
2000-02-18,0,33900,33900,33900,33900,33900
2000-02-21,100,29000,29000,31900,29000,31900
2000-02-22,10,30700,30700,30700,30700,30700
2000-02-23,40,31500,31500,31500,31500,31500
2000-02-24,100,27700,27700,32500,27700,32500
2000-02-25,100,31850,31850,31850,31850,31850
2000-02-28,200,27700,28350,33000,28350,32000
2000-02-29,400,28400,29900,31900,29900,31900
2000-03-01,0,29900,29900,29900,29900,29900
2000-03-02,200,30000,32000,32800,32000,32800
2000-03-03,300,30000,30000,33000,30000,33000
2000-03-06,200,28150,32000,32500,32000,28150
2000-03-07,20,32000,33500,33500,33500,32000
2000-03-08,200,29700,32000,34000,32000,29700
2000-03-09,100,30200,33400,33400,33400,32000
2000-03-10,60,34000,34000,34450,34000,34450
2000-03-13,500,34050,39100,39100,39100,34050
2000-03-14,600,44000,44950,44950,44950,44950
2000-03-15,300,38250,38850,46000,38850,46000
2000-03-16,600,36500,42300,44300,42300,39450
2000-03-17,900,36200,40000,41900,40000,41900
2000-03-20,600,34000,34100,37200,34100,37100
2000-03-21,100,33100,34900,35000,34900,33100
2000-03-22,400,30000,35800,35800,35800,30000
2000-03-23,30,33300,36000,36000,36000,35800
2000-03-24,40,33600,34900,35000,34900,35000
2000-03-27,100,32200,36000,36000,36000,35000
2000-03-28,200,33400,36300,36400,36300,35900
2000-03-29,300,31500,35000,35000,35000,34500
2000-03-30,20,31150,33750,33750,33750,31150
2000-03-31,300,33250,34000,35300,34000,33250
2000-04-03,200,33000,34000,36000,34000,33000
2000-04-04,40,33100,33100,34000,33100,34000
2000-04-05,0,33100,33100,33100,33100,33100
2000-04-06,400,33100,36000,36000,36000,33100
2000-04-07,100,36000,36000,36000,36000,36000
2000-04-10,0,35500,35500,35500,35500,35500
2000-04-11,200,31300,36400,36400,36400,31300
2000-04-12,80,32100,33050,33500,33050,32100
2000-04-13,0,33050,33050,33050,33050,33050
2000-04-14,400,33000,35000,36000,35000,33000
2000-04-17,1100,30100,30500,37200,30500,37000
2000-04-18,700,30800,35050,35050,35050,30800
2000-04-19,2000,31700,40300,40300,40300,37300
2000-04-20,1100,44700,46300,46300,46300,44700
2000-04-21,1800,42100,46000,53200,46000,53000
2000-04-24,1800,39100,39150,46000,39150,46000
2000-04-25,800,34350,34500,41800,34500,34350
2000-04-26,900,33500,33900,38700,33900,37400
2000-04-27,800,31200,36000,36000,36000,34300
2000-04-28,800,32100,34000,36000,34000,32150
2000-05-01,0,34000,34000,34000,34000,34000
2000-05-02,1000,33000,39100,39100,39100,35400
2000-05-03,1900,36500,44950,44950,44950,39900
2000-05-04,1400,40300,47000,51200,47000,47600
2000-05-05,0,47000,47000,47000,47000,47000
2000-05-08,600,42000,42700,46900,42700,45000
2000-05-09,0,42700,42700,42700,42700,42700
2000-05-10,1700,49000,52000,53900,52000,49800
2000-05-11,0,52000,52000,52000,52000,52000
2000-05-12,2200,51000,59800,59800,59800,53000
2000-05-15,1500,60200,68700,68700,68700,68000
2000-05-16,1200,70000,79000,79000,79000,70000
2000-05-17,300,90800,90800,90800,90800,90800
2000-05-18,200,104000,104000,104000,104000,104000
2000-05-19,2800,88500,95500,119500,95500,104000
2000-05-22,70,81200,81200,90000,81200,90000
2000-05-23,30,69100,69100,69100,69100,69100
2000-05-24,90,58800,58800,58800,58800,58800
2000-05-25,1000,50000,53700,67600,53700,50000
2000-05-26,1100,51300,61700,61700,61700,51300
2000-05-29,1200,65000,70900,70900,70900,70900
2000-05-30,0,70900,70900,70900,70900,70900
2000-05-31,1700,63100,67500,74000,67500,71000
2000-06-01,700,65000,65700,70500,65700,68000
2000-06-02,1300,57100,64000,69900,64000,69900
2000-06-05,1800,60000,69200,73000,69200,60000
2000-06-06,0,69200,69200,69200,69200,69200
2000-06-07,900,64100,65900,69000,65900,69000
2000-06-08,900,56100,56100,65900,56100,65900
