,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2002-01-16,21008.0,21350.0,21350.0,18800.0,19100.0,93700.0,
2002-01-17,19975.0,20300.0,23350.0,20300.0,22200.0,60000.0,
2002-01-18,19532.0,19850.0,20800.0,19150.0,20000.0,19700.0,
2002-01-21,19286.0,19600.0,21200.0,19600.0,20000.0,27000.0,
2002-01-22,18794.0,19100.0,19600.0,18600.0,19600.0,25900.0,
2002-01-23,20959.0,21300.0,21350.0,18900.0,18900.0,53800.0,
2002-01-24,19188.0,19500.0,21000.0,19500.0,21000.0,25400.0,
2002-01-25,19680.0,20000.0,20800.0,19100.0,20800.0,12500.0,
2002-01-28,22041.0,22400.0,22400.0,19850.0,22000.0,19000.0,
2002-01-29,20713.0,21050.0,23900.0,21000.0,23000.0,16200.0,
2002-01-30,22632.0,23000.0,23550.0,20150.0,20700.0,85200.0,
2002-02-01,23025.0,23400.0,28700.0,23200.0,26550.0,71900.0,
2002-02-04,21943.0,22300.0,24600.0,22100.0,24600.0,17400.0,
2002-02-05,20860.0,21200.0,22000.0,19700.0,21200.0,21600.0,
2002-02-06,20664.0,21000.0,22100.0,20600.0,21800.0,13400.0,
2002-02-07,19778.0,20100.0,21200.0,20100.0,21000.0,11300.0,
2002-02-08,21549.0,21900.0,22000.0,19900.0,19900.0,11100.0,
2002-02-14,20811.0,21150.0,22400.0,21000.0,22400.0,8900.0,
2002-02-15,20664.0,21000.0,21900.0,20700.0,21900.0,16900.0,
2002-02-18,20319.0,20650.0,21550.0,20600.0,21550.0,11500.0,
2002-02-19,20368.0,20700.0,21450.0,20600.0,20750.0,12000.0,
2002-02-20,19680.0,20000.0,21000.0,18300.0,20500.0,24500.0,
2002-02-21,20959.0,21300.0,21500.0,20000.0,20000.0,9200.0,
2002-02-22,22435.0,22800.0,22800.0,20500.0,21500.0,11100.0,
2002-02-25,21648.0,22000.0,23900.0,21700.0,22800.0,15600.0,
2002-02-26,20959.0,21300.0,22700.0,21300.0,22700.0,13500.0,
2002-02-27,20664.0,21000.0,22000.0,20550.0,22000.0,10900.0,
2002-02-28,20368.0,20700.0,21500.0,20500.0,20750.0,53500.0,
2002-03-04,20270.0,20600.0,21000.0,20450.0,21000.0,13000.0,
2002-03-05,20467.0,20800.0,21400.0,20400.0,20650.0,25600.0,
2002-03-06,20368.0,20700.0,20850.0,20300.0,20500.0,9900.0,
2002-03-07,20664.0,21000.0,21800.0,20550.0,20850.0,15500.0,
2002-03-08,20614.0,20950.0,21750.0,20700.0,21750.0,9400.0,
2002-03-11,21943.0,22300.0,22300.0,20600.0,21000.0,38500.0,
2002-03-12,22632.0,23000.0,23000.0,21400.0,22800.0,20300.0,
2002-03-13,22336.0,22700.0,23750.0,22200.0,23400.0,31300.0,
2002-03-14,20910.0,21250.0,22400.0,21050.0,21650.0,33500.0,
2002-03-15,21254.0,21600.0,21900.0,21200.0,21500.0,30800.0,
2002-03-18,21451.0,21800.0,22400.0,21600.0,22000.0,21800.0,
2002-03-19,22041.0,22400.0,22800.0,21600.0,21950.0,41400.0,
2002-03-20,22041.0,22400.0,23200.0,21700.0,22450.0,29000.0,
2002-03-21,21844.0,22200.0,22550.0,21850.0,22400.0,15800.0,
2002-03-22,23025.0,23400.0,23800.0,22150.0,22700.0,67100.0,
2002-03-25,22927.0,23300.0,24600.0,23250.0,23500.0,43700.0,
2002-03-26,23911.0,24300.0,24900.0,22950.0,23800.0,47500.0,
2002-03-27,23124.0,23500.0,25800.0,23500.0,24500.0,36200.0,
2002-03-28,24403.0,24800.0,25800.0,24000.0,24200.0,87800.0,
2002-03-29,23616.0,24000.0,25000.0,23600.0,25000.0,30300.0,
2002-04-01,23616.0,24000.0,26850.0,23600.0,24800.0,220500.0,
2002-04-02,22632.0,23000.0,25100.0,21200.0,24200.0,114600.0,
2002-04-03,22927.0,23300.0,23950.0,22250.0,23950.0,40300.0,
2002-04-04,22484.0,22850.0,24000.0,22200.0,22900.0,104500.0,
2002-04-08,24600.0,25000.0,25500.0,22900.0,22900.0,135700.0,
2002-04-09,22140.0,22500.0,25100.0,22400.0,25000.0,102100.0,
2002-04-10,20614.0,20950.0,22400.0,20800.0,22000.0,65400.0,
2002-04-11,20860.0,21200.0,21650.0,20700.0,21200.0,34800.0,
2002-04-12,21205.0,21550.0,21700.0,20700.0,20900.0,42800.0,
2002-04-15,21352.0,21700.0,22000.0,21300.0,21900.0,18900.0,
2002-04-16,21057.0,21400.0,21700.0,21000.0,21700.0,26900.0,
2002-04-17,21549.0,21900.0,22300.0,21100.0,21400.0,40700.0,
2002-04-18,21008.0,21350.0,21900.0,21000.0,21900.0,21700.0,
2002-04-19,20565.0,20900.0,21400.0,20900.0,21350.0,18600.0,
2002-04-22,19778.0,20100.0,21500.0,19800.0,20750.0,42100.0,
2002-04-23,18794.0,19100.0,20000.0,18950.0,19700.0,34500.0,
2002-04-24,18302.0,18600.0,19450.0,18500.0,19100.0,25500.0,
2002-04-25,17712.0,18000.0,18300.0,17600.0,18300.0,17300.0,
2002-04-26,17712.0,18000.0,18100.0,17600.0,18000.0,13800.0,
2002-04-29,17318.0,17600.0,18200.0,16800.0,17800.0,10600.0,
2002-04-30,17220.0,17500.0,18000.0,17250.0,17650.0,9100.0,
2002-05-02,17761.0,18050.0,18200.0,17400.0,17650.0,10200.0,
2002-05-03,17761.0,18050.0,18250.0,17550.0,17750.0,19100.0,
