Date,Open,High,Low,Close,Adj Close,Volume
2012-02-29,4140,4140,4140,4140,4140,0
2012-03-30,4208,4208,4208,4208,4208,0
2012-04-30,4024,4024,4024,4024,4024,0
2012-05-31,4172,4172,4172,4172,4172,0
2012-06-29,4305,4305,4305,4305,4305,0
2012-07-31,4319,4319,4319,4319,4319,0
2012-08-31,4072,4072,4072,4072,4072,0
2012-09-28,4020,4020,4020,4020,4020,0
2012-10-31,4082,4082,4082,4082,4082,0
2012-11-30,4095,4095,4095,4095,4095,0
2013-01-02,4070,4070,4070,4070,4070,0
2013-01-31,3972,3972,3972,3972,3972,0
2013-02-28,4062,4062,4062,4062,4062,0
2013-03-29,4044,4044,4044,4044,4044,0
2013-04-30,4108,4108,4108,4108,4108,0
2013-05-31,4088,4088,4088,4088,4088,0
2013-06-28,4008,4008,4008,4008,4008,0
2013-07-31,4040,4040,4040,4040,4040,0
2013-08-30,3897,3897,3897,3897,3897,0
2013-09-30,3734,3734,3734,3734,3734,0
2013-10-31,3626,3626,3626,3626,3626,0
2013-11-29,3598,3598,3598,3598,3598,0
2014-01-02,3399,3399,3399,3399,3399,0
2014-02-03,3477,3477,3477,3477,3477,0
2014-02-28,3419,3419,3419,3419,3419,0
2014-03-31,3430,3430,3430,3430,3430,0
2014-04-30,3441,3441,3441,3441,3441,0
2014-05-30,3451,3451,3451,3451,3451,0
2014-06-30,3462,3462,3462,3462,3462,0
2014-07-31,3473,3473,3473,3473,3473,0
2014-08-04,3615,3615,3615,3615,3615,0
2014-08-05,3615,3615,3615,3615,3615,0
2014-08-06,3615,3615,3615,3615,3615,0
2014-08-07,3615,3615,3615,3615,3615,0
2014-08-08,3615,3615,3615,3615,3615,0
2014-08-11,3615,3615,3615,3615,3615,0
2014-08-12,3703,3703,3703,3703,3703,0
2014-08-13,3615,3615,3615,3615,3615,0
2014-08-14,3235,3340,3230,3305,3305,12192
2014-08-18,3691,3691,3672,3672,3672,0
2014-08-19,3676,3676,3676,3676,3676,0
2014-08-20,3696,3696,3696,3696,3696,0
2014-08-21,3689,3689,3689,3689,3689,0
2014-08-22,3210,3210,3200,3210,3210,6186
2014-08-25,3698,3698,3698,3698,3698,0
2014-08-26,3700,3700,3700,3700,3700,0
2014-08-27,3695,3695,3695,3695,3695,0
2014-08-28,3690,3690,3690,3690,3690,0
2014-08-29,3455,3455,3455,3455,3455,0
2014-09-01,3603,3603,3603,3603,3603,0
2014-09-02,3612,3612,3612,3612,3612,0
2014-09-03,3604,3604,3604,3604,3604,0
2014-09-04,3603,3603,3603,3603,3603,0
2014-09-05,3603,3603,3603,3603,3603,0
2014-09-11,3535,3535,3485,3485,3485,0
2014-09-12,3485,3485,3485,3485,3485,0
2014-09-15,3572,3572,3572,3572,3572,0
2014-09-16,3579,3579,3579,3579,3579,0
2014-09-17,3579,3579,3579,3579,3579,0
2014-09-18,3597,3597,3597,3597,3597,0
2014-09-19,3597,3597,3597,3597,3597,0
2014-09-22,3605,3605,3605,3605,3605,0
2014-09-23,3605,3605,3605,3605,3605,0
2014-09-24,3601,3601,3601,3601,3601,0
2014-09-25,3600,3600,3600,3600,3600,0
2014-09-26,3600,3600,3600,3600,3600,0
2014-09-29,3616,3616,3616,3616,3616,0
2014-09-30,3501,3501,3501,3501,3501,0
2014-10-01,3628,3628,3628,3628,3628,0
2014-10-02,3250,3255,3220,3225,3225,58807
2014-10-06,3631,3631,3616,3616,3616,0
2014-10-07,3624,3624,3624,3624,3624,0
2014-10-08,3240,3240,3215,3220,3220,67328
2014-10-10,3639,3639,3639,3639,3639,0
2014-10-13,3649,3649,3649,3649,3649,0
2014-10-14,3655,3655,3655,3655,3655,0
2014-10-15,3650,3650,3650,3650,3650,0
2014-10-16,3624,3624,3624,3624,3624,0
2014-10-17,3624,3624,3624,3624,3624,0
2014-10-20,3599,3599,3599,3599,3599,0
2014-10-21,3570,3570,3570,3570,3570,0
2014-10-22,3553,3553,3553,3553,3553,0
2014-10-23,3561,3561,3561,3561,3561,0
2014-10-24,3561,3561,3561,3561,3561,0
2014-10-27,3569,3569,3569,3569,3569,0
2014-10-28,3560,3560,3560,3560,3560,0
2014-10-29,3558,3558,3558,3558,3558,0
2014-10-30,3579,3579,3579,3579,3579,0
2014-10-31,3445,3445,3445,3445,3445,0
2014-11-03,3577,3577,3577,3577,3577,0
2014-11-04,3601,3601,3601,3601,3601,0
2014-11-05,3605,3605,3605,3605,3605,0
2014-11-06,3594,3594,3594,3594,3594,0
2014-11-07,3594,3594,3594,3594,3594,0
2014-11-10,3601,3601,3601,3601,3601,0
2014-11-11,3601,3601,3601,3601,3601,0
2014-11-12,3000,3000,2990,3000,3000,20422
2014-11-13,3609,3609,3609,3609,3609,0
2014-11-14,3609,3609,3609,3609,3609,0
2014-11-17,2985,3000,2985,2995,2995,5054
2014-11-18,3614,3614,3614,3614,3614,0
2014-11-19,3621,3621,3621,3621,3621,0
2014-11-20,3624,3624,3624,3624,3624,0
2014-11-21,3624,3624,3624,3624,3624,0
2014-11-24,3636,3636,3636,3636,3636,0
2014-11-25,3630,3630,3630,3630,3630,0
2014-11-26,3623,3623,3623,3623,3623,0
2014-11-27,3616,3616,3616,3616,3616,0
2014-11-28,3487,3487,3487,3487,3487,0
2014-12-01,3551,3551,3551,3551,3551,0
2014-12-02,3564,3564,3564,3564,3564,0
2014-12-03,3557,3557,3557,3557,3557,0
2014-12-04,2800,2800,2685,2685,2685,43668
2014-12-05,3476,3476,3476,3476,3476,0
2014-12-08,3476,3476,3476,3476,3476,0
2014-12-09,3319,3319,3319,3319,3319,0
2014-12-10,3311,3311,3311,3311,3311,0
2014-12-11,3298,3298,3298,3298,3298,0
2014-12-12,3298,3298,3298,3298,3298,0
2014-12-24,3302,3302,3302,3302,3302,0
2014-12-26,3302,3302,3302,3302,3302,0
2014-12-29,3302,3302,3302,3302,3302,0
2014-12-30,3304,3304,3304,3304,3304,0
2015-01-02,3259,3323,3259,3323,3323,0
2015-01-05,3301,3301,3301,3301,3301,0
2015-01-06,3271,3271,3271,3271,3271,0
2015-01-07,3251,3251,3251,3251,3251,0
2015-01-08,3230,3230,3230,3230,3230,0
2015-01-09,3230,3230,3230,3230,3230,0
2015-01-12,3233,3233,3233,3233,3233,0
2015-01-13,3225,3225,3225,3225,3225,0
2015-01-14,3235,3235,3235,3235,3235,0
2015-01-15,3245,3245,3245,3245,3245,0
2015-01-16,3245,3245,3245,3245,3245,0
2015-01-19,3215,3215,3215,3215,3215,0
2015-01-20,3233,3233,3233,3233,3233,0
2015-01-21,3199,3199,3199,3199,3199,0
2015-01-22,3210,3210,3210,3210,3210,0
2015-01-23,3210,3210,3210,3210,3210,0
2015-01-26,3216,3216,3216,3216,3216,0
2015-01-27,3210,3210,3210,3210,3210,0
2015-01-28,3235,3235,3235,3235,3235,0
2015-01-29,3244,3244,3244,3244,3244,0
2015-01-30,3191,3191,3191,3191,3191,0
2015-02-02,3310,3310,3310,3310,3310,0
2015-02-03,3308,3308,3308,3308,3308,0
2015-02-04,3306,3306,3306,3306,3306,0
2015-02-05,3302,3302,3302,3302,3302,0
2015-02-06,3302,3302,3302,3302,3302,0
2015-02-09,3299,3299,3299,3299,3299,0
2015-02-10,3295,3295,3295,3295,3295,0
2015-02-11,3308,3308,3308,3308,3308,0
2015-02-12,3335,3335,3335,3335,3335,0
2015-02-13,3335,3335,3335,3335,3335,0
2015-02-16,3322,3322,3322,3322,3322,0
2015-02-17,3325,3325,3325,3325,3325,0
2015-02-27,3268,3268,3268,3268,3268,0
2015-03-02,3306,3306,3306,3306,3306,0
2015-03-03,3284,3284,3284,3284,3284,0
2015-03-04,3295,3295,3295,3295,3295,0
2015-03-05,3295,3295,3295,3295,3295,0
2015-03-06,4626,4626,4626,4626,4626,0
2015-03-09,3198,3198,3198,3198,3198,0
2015-03-10,3214,3214,3214,3214,3214,0
2015-03-11,3222,3222,3222,3222,3222,0
2015-03-12,3232,3232,3232,3232,3232,0
2015-03-13,3232,3232,3232,3232,3232,0
2015-03-16,3239,3239,3239,3239,3239,0
2015-03-17,3245,3245,3245,3245,3245,0
