,Adj Close,Close,High,Low,Open,Volume,adjclose,close,high,low,open,volume
2018-07-16,55300,58400,52500,55500,745751,55500,0,0,0,0,0,0
2018-07-17,54000,65300,53100,60900,803024,60900,0,0,0,0,0,0
2018-07-18,60600,66200,60500,61600,662837,61600,0,0,0,0,0,0
2018-07-19,62400,63100,58500,61700,329582,61700,0,0,0,0,0,0
2018-07-20,60600,61600,57000,59900,260702,59900,0,0,0,0,0,0
2018-07-23,60400,60400,54600,55300,195014,55300,0,0,0,0,0,0
2018-07-24,55000,60300,55000,57700,193416,57700,0,0,0,0,0,0
2018-07-25,58200,58900,55700,56100,138363,56100,0,0,0,0,0,0
2018-07-26,56500,57100,55800,56100,91464,56100,0,0,0,0,0,0
2018-07-27,56300,59400,55400,57300,92347,57300,0,0,0,0,0,0
2018-07-30,58200,58600,57000,58000,108242,58000,0,0,0,0,0,0
2018-07-31,54000,55000,52100,52900,373912,52900,0,0,0,0,0,0
2018-08-01,53400,53400,50800,50800,192356,50800,0,0,0,0,0,0
2018-08-02,51000,52100,50300,50400,82121,50400,0,0,0,0,0,0
2018-08-03,50500,52100,50200,51600,64625,51600,0,0,0,0,0,0
2018-08-06,37525,51300,51900,52400,51900,52000,0,0,0,0,0,0
2018-08-07,64058,50500,51000,51900,51000,51600,0,0,0,0,0,0
2018-08-08,44236,50800,51400,51900,51400,50800,0,0,0,0,0,0
2018-08-09,97178,49850,51300,52000,51300,51400,0,0,0,0,0,0
2018-08-10,85719,49350,49350,51800,49350,51500,0,0,0,0,0,0
2018-08-13,66200,47150,47600,49200,47600,48600,0,0,0,0,0,0
2018-08-14,0,0,0,0,0,0,47100,47100,48100,46950,47500,51834
