,Open,High,Low,Close,Volume,Adj Close
2018-01-02,27150,27750,27100,27650,247705,27650
2018-01-03,27650,28700,27600,28550,638514,28550
2018-01-04,28600,29750,28350,29200,835844,29200
2018-01-05,29200,29750,28950,29350,337895,29350
2018-01-08,29550,29750,28800,29300,283749,29300
2018-01-09,29200,29650,28800,29500,301453,29500
2018-01-10,29500,31150,29500,30800,780295,30800
2018-01-11,30700,31050,30200,30400,300360,30400
2018-01-12,30600,31400,30500,31050,380176,31050
2018-01-15,31100,31200,30350,30750,222400,30750
2018-01-16,30700,31000,29850,30050,259220,30050
2018-01-17,30100,30250,29050,29200,279152,29200
2018-01-18,29300,29800,28950,29000,206133,29000
2018-01-19,28900,29900,28850,29450,135674,29450
2018-01-22,29550,29950,29100,29650,145720,29650
2018-01-23,29450,29900,29300,29800,141411,29800
2018-01-24,29800,30150,29700,30100,155253,30100
2018-01-25,30150,31700,30150,31500,643373,31500
2018-01-26,31300,31500,30500,30700,286884,30700
2018-01-29,31100,31700,30800,31050,274828,31050
2018-01-30,31050,31350,30800,30950,186757,30950
2018-01-31,30600,30700,29600,29950,254386,29950
2018-02-01,30000,31300,30000,30900,403723,30900
2018-02-02,30900,31800,30300,30350,395971,30350
2018-02-05,29950,30000,29100,29250,268217,29250
2018-02-06,28500,28950,28100,28850,302274,28850
2018-02-07,29150,29300,28050,28050,251302,28050
2018-02-08,28050,28450,27650,27850,243919,27850
2018-02-09,27250,27700,27000,27600,266625,27600
2018-02-12,27600,28100,27300,27800,175226,27800
2018-02-13,27800,28150,27500,27500,161753,27500
2018-02-14,27800,27850,27050,27500,174117,27500
2018-02-15,27500,27500,27500,27500,0,27500
2018-02-16,27500,27500,27500,27500,0,27500
2018-02-19,27850,28050,27600,27850,160596,27850
2018-02-20,27850,28300,27700,27750,114976,27750
2018-02-21,27900,28100,27750,27850,76369,27850
2018-02-22,27650,27850,27350,27600,139195,27600
2018-02-23,27650,28000,27500,27800,113020,27800
2018-02-26,27800,28100,27750,28000,103708,28000
2018-02-27,28050,28200,27650,27650,124170,27650
2018-02-28,27650,27750,27100,27150,221428,27150
2018-03-02,26950,27000,26200,26250,328704,26250
2018-03-05,26250,26400,25800,26000,158637,26000
2018-03-06,26350,26350,25950,26150,126449,26150
2018-03-07,26100,26550,25450,26200,296910,26200
2018-03-08,26200,26250,25950,26200,108225,26200
2018-03-09,26400,26700,26200,26300,178842,26300
2018-03-12,26600,26900,26400,26850,157912,26850
2018-03-13,26750,26800,26500,26600,154218,26600
2018-03-14,26500,26950,26450,26600,134723,26600
2018-03-15,26550,27150,26400,27100,194906,27100
2018-03-16,27250,27350,26650,27050,194970,27050
2018-03-19,27250,27300,26950,27200,121386,27200
2018-03-20,27000,27150,26900,27050,67911,27050
2018-03-21,27000,27300,26850,27000,93804,27000
2018-03-22,26900,27450,26900,27100,195421,27100
2018-03-23,26650,26950,26200,26300,176219,26300
2018-03-26,26350,27250,26350,27050,127676,27050
2018-03-27,27300,28250,26950,28150,288501,28150
