,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2018-02-01,1290,1290,1315,1265,1275,340147,0.0
2018-02-02,1250,1250,1300,1250,1290,249174,0.0
2018-02-05,1220,1220,1240,1200,1220,208520,0.0
2018-02-06,1195,1195,1195,1150,1175,302933,0.0
2018-02-07,1190,1190,1220,1185,1200,134772,0.0
2018-02-08,1220,1220,1220,1185,1195,57024,0.0
2018-02-09,1215,1215,1300,1180,1195,499614,0.0
2018-02-12,1235,1235,1245,1180,1195,103468,0.0
2018-02-13,1240,1240,1260,1215,1240,119181,0.0
2018-02-14,1230,1230,1245,1215,1245,90034,0.0
2018-02-19,1225,1225,1240,1215,1230,106926,0.0
2018-02-20,1250,1250,1270,1210,1225,227813,0.0
2018-02-21,1275,1275,1280,1245,1255,252186,0.0
2018-02-22,1360,1360,1385,1260,1260,2463760,0.0
2018-02-23,1400,1400,1490,1345,1355,3685886,0.0
2018-02-26,1370,1370,1420,1370,1400,493077,0.0
2018-02-27,1370,1370,1380,1315,1375,511625,0.0
2018-02-28,1360,1360,1395,1325,1370,383403,0.0
2018-03-02,1365,1365,1440,1330,1350,812070,0.0
2018-03-05,1360,1360,1395,1320,1390,290665,0.0
2018-03-06,1360,1360,1420,1335,1415,441235,0.0
2018-03-08,1395,1395,1430,1375,1390,542281,0.0
2018-03-09,1385,1385,1395,1360,1395,385806,0.0
2018-03-12,1405,1405,1425,1385,1395,334661,0.0
2018-03-13,1370,1370,1420,1370,1410,264052,0.0
2018-03-14,1355,1355,1385,1355,1375,164005,0.0
2018-03-15,1315,1315,1370,1310,1355,416491,0.0
2018-03-16,1395,1395,1450,1315,1320,2153976,0.0
2018-03-19,1415,1415,1430,1375,1400,373196,0.0
2018-03-20,1410,1410,1420,1385,1410,234857,0.0
2018-03-21,1350,1350,1420,1350,1400,373987,0.0
2018-03-22,1355,1355,1405,1350,1350,296293,0.0
2018-03-23,1280,1280,1350,1260,1350,344977,0.0
2018-03-26,1270,1270,1275,1220,1265,171361,0.0
2018-03-28,1355,1355,1365,1305,1335,265694,0.0
2018-03-29,1355,1355,1370,1325,1355,136796,0.0
2018-03-30,1360,1360,1385,1345,1350,200361,0.0
2018-04-02,1385,1385,1435,1370,1370,871665,0.0
2018-04-03,1385,1385,1390,1345,1390,197096,0.0
2018-04-04,1420,1420,1445,1370,1375,638243,0.0
2018-04-05,1405,1405,1480,1405,1445,1051041,0.0
2018-04-06,1365,1365,1430,1365,1405,233305,0.0
2018-04-09,1335,1335,1375,1335,1355,205680,0.0
2018-04-10,1345,1345,1350,1285,1335,272541,0.0
2018-04-11,1375,1375,1380,1330,1345,218555,0.0
2018-04-12,1330,1330,1375,1325,1375,190747,0.0
2018-04-13,1390,1390,1410,1335,1335,341398,0.0
2018-04-16,1420,1420,1420,1390,1405,428739,0.0
2018-04-17,1405,1405,1440,1385,1430,265300,0.0
2018-04-18,1400,1400,1435,1390,1405,433413,0.0
2018-04-19,1465,1465,1480,1385,1390,901496,0.0
2018-04-20,1470,1470,1515,1440,1490,688176,0.0
2018-04-23,1440,1440,1510,1435,1500,545519,0.0
2018-04-24,1460,1460,1470,1430,1450,299055,0.0
2018-04-25,1420,1420,1490,1410,1450,325171,0.0
2018-04-26,1450,1450,1465,1420,1425,336461,0.0
2018-04-27,1450,1450,1500,1420,1485,327505,0.0
2018-04-30,1410,1410,1470,1400,1450,253705,0.0
2018-05-02,1490,1490,1515,1370,1430,937838,0.0
2018-05-03,1465,1465,1545,1465,1510,696876,0.0
2018-05-04,1475,1475,1490,1435,1465,246868,0.0
2018-05-08,1385,1385,1510,1375,1470,538684,0.0
2018-05-09,1370,1370,1400,1330,1385,291602,0.0
2018-05-10,1370,1370,1370,1340,1365,173410,0.0
2018-05-11,1425,1425,1550,1360,1375,1703151,0.0
2018-05-14,1470,1470,1470,1415,1425,306764,0.0
2018-05-15,1440,1440,1470,1420,1470,172753,0.0
2018-05-16,1385,1385,1425,1380,1405,367521,0.0
2018-05-17,1380,1380,1425,1380,1395,122810,0.0
2018-05-18,1415,1415,1420,1380,1395,141964,0.0
2018-05-21,1410,1410,1455,1395,1420,100895,0.0
2018-05-23,1400,1400,1445,1390,1410,85445,0.0
2018-05-24,1355,1355,1405,1355,1400,232175,0.0
2018-05-25,1295,1295,1350,1285,1350,300528,0.0
2018-05-28,1355,1355,1375,1295,1300,233450,0.0
2018-05-29,1320,1320,1360,1305,1340,146422,0.0
2018-05-30,1275,1275,1320,1265,1320,235034,0.0
2018-05-31,1315,1315,1380,1280,1280,131395,0.0
2018-06-01,1300,1300,1325,1265,1325,188912,0.0
2018-06-04,1300,1300,1305,1285,1300,78239,0.0
2018-06-05,1275,1275,1300,1270,1295,111734,0.0
2018-06-07,1265,1265,1285,1220,1275,245632,0.0
2018-06-08,1265,1265,1270,1240,1270,66054,0.0
2018-06-11,1260,1260,1285,1250,1250,162749,0.0
2018-06-12,1235,1235,1265,1235,1255,135782,0.0
2018-06-14,1210,1210,1260,1205,1235,145582,0.0
2018-06-15,1200,1200,1230,1200,1210,126243,0.0
2018-06-18,1135,1135,1210,1135,1195,257457,0.0
2018-06-19,1150,1150,1190,1135,1140,116754,0.0
2018-06-20,1190,1190,1200,1135,1135,67356,0.0
2018-06-21,1180,1180,1195,1155,1170,48191,0.0
