,Adj Close,Close,High,Low,Open,Volume
2018-01-02,82500,82500,82800,80700,81700,3636
2018-01-03,82600,82600,82600,81100,82500,2342
2018-01-04,82100,82100,82600,81000,82000,3028
2018-01-05,81000,81000,82500,80300,82500,3722
2018-01-08,80200,80200,81400,79900,80400,1946
2018-01-09,79800,79800,80600,79400,80200,3198
2018-01-10,79300,79300,80400,78700,79600,1588
2018-01-11,79300,79300,79600,78000,79300,2363
2018-01-12,79100,79100,79900,78500,79500,2378
2018-01-15,79000,79000,79800,78000,79100,3432
2018-01-16,81000,81000,81000,78300,79100,5492
2018-01-17,80400,80400,82200,80000,81100,4136
2018-01-18,81700,81700,82200,80600,80600,8742
2018-01-19,82800,82800,83000,81000,81000,5199
2018-01-22,83700,83700,85000,81800,81900,9995
2018-01-23,83200,83200,84600,82400,83100,3555
2018-01-24,85200,85200,85900,83200,83200,10413
2018-01-25,86200,86200,86200,84400,85200,5211
2018-01-26,112000,112000,112000,86400,86400,292774
2018-01-29,135000,135000,145500,118000,122000,552070
2018-01-30,125500,125500,132000,120000,131000,141344
2018-01-31,125000,125000,136000,120500,129000,125646
2018-02-01,132000,132000,134000,117000,122000,81014
2018-02-02,125500,125500,133500,123000,132000,60114
2018-02-05,120500,120500,123000,119000,120000,33964
2018-02-06,116000,116000,119500,110000,115000,49286
2018-02-07,113000,113000,119500,113000,119000,36890
2018-02-08,119500,119500,120000,111500,113000,28386
2018-02-09,124000,124000,130000,112000,113000,54034
2018-02-12,135500,135500,142000,125000,125000,111931
2018-02-13,140000,140000,148500,132000,135000,104325
2018-02-14,158000,158000,172000,135500,143500,211558
2018-02-15,158000,158000,158000,158000,158000,0
2018-02-16,158000,158000,158000,158000,158000,0
2018-02-19,166000,166000,168500,156500,166000,73997
2018-02-20,154000,154000,168500,152000,167000,44040
2018-02-21,167000,167000,167000,152000,152000,51882
2018-02-22,164500,164500,170000,161000,166000,30473
2018-02-23,163000,163000,166500,161000,163000,18670
2018-02-26,161500,161500,166000,158500,165000,20204
2018-02-27,171500,171500,179500,160500,161500,64118
2018-02-28,167000,167000,178500,164000,171500,47855
2018-03-02,165500,165500,170000,161500,163000,24216
2018-03-05,160000,160000,171000,158500,165500,33975
2018-03-06,159500,159500,165000,156500,161000,33687
2018-03-07,154000,154000,161000,152500,161000,31074
2018-03-08,157000,157000,160000,154500,154500,18547
2018-03-09,161500,161500,164500,155000,156000,18661
2018-03-12,160500,160500,164000,157500,164000,14964
2018-03-13,165000,165000,167500,159500,161000,27967
2018-03-14,159500,159500,166500,157500,163500,23680
2018-03-15,156500,156500,160500,155500,159000,26594
2018-03-16,169500,169500,171500,157000,157000,66278
2018-03-19,169000,169000,174000,165500,172000,25535
2018-03-20,177500,177500,178000,167000,167500,39277
2018-03-21,187500,187500,188500,174000,179000,48342
2018-03-22,183000,183000,195000,180500,189500,30180
2018-03-23,173500,173500,186500,170000,178000,41393
2018-03-26,172500,172500,178500,167000,173500,32390
2018-03-27,168000,168000,176500,164000,176000,48567
2018-03-28,163500,163500,169000,160500,165000,28938
2018-03-29,177000,177000,178500,165000,165000,44243
2018-03-30,178500,178500,184000,173000,180000,38772
2018-04-02,170000,170000,178500,169000,177000,35653
2018-04-03,173500,173500,174500,168000,168000,21241
2018-04-04,168500,168500,174000,165500,173500,16557
2018-04-05,162500,162500,169500,160000,169000,37198
2018-04-06,167000,167000,167500,161000,161500,18766
2018-04-09,168500,168500,171000,162500,162500,16881
2018-04-10,176000,176000,177500,162000,169000,34092
2018-04-11,171500,171500,176500,170500,176500,21854
2018-04-12,168000,168000,175000,167500,171000,15154
2018-04-13,168500,168500,170000,166000,169000,13837
2018-04-16,162000,162000,167500,161000,166500,24467
2018-04-17,160000,160000,164000,156500,162500,18487
2018-04-18,160000,160000,164500,159000,159000,21329
2018-04-19,156500,156500,161500,155000,158500,13178
2018-04-20,160000,160000,161500,156500,156500,11860
2018-04-23,150000,150000,159500,148500,158000,28691
2018-04-24,160500,160500,162000,148500,152500,46987
2018-04-25,165000,165000,166500,158500,160500,46007
2018-04-26,168000,168000,169500,162500,166000,27393
2018-04-27,166500,166500,169500,165000,169500,9514
2018-04-30,164500,164500,169000,159500,169000,20906
2018-05-02,157000,157000,164500,157000,164500,11545
2018-05-03,154500,154500,160000,154500,157000,18309
2018-05-04,153500,153500,157000,152500,156000,9285
2018-05-08,149000,149000,154000,148000,153500,12442
2018-05-09,147500,147500,151000,144500,151000,26446
2018-05-10,148500,148500,152000,147500,148000,16786
2018-05-11,158000,158000,158500,148000,149000,26381
2018-05-14,153000,153000,159000,152000,158000,8459
2018-05-15,150500,150500,152500,149000,152000,4683
2018-05-16,148000,148000,149500,145000,149000,11381
2018-05-17,151000,151000,151000,144000,146000,10876
2018-05-18,155000,155000,156500,148000,150500,15959
2018-05-21,155000,155000,156500,154000,154500,8073
2018-05-23,151500,151500,156500,150500,155000,18175
2018-05-24,160000,160000,161500,151500,153500,22880
2018-05-25,157000,157000,161500,153000,157500,18146
2018-05-28,165000,165000,168000,154500,155000,29362
2018-05-29,161500,161500,167500,160500,166000,7212
2018-05-30,161000,161000,164500,156500,162500,14971
2018-05-31,165500,165500,167000,158500,163000,12464
2018-06-01,170000,170000,172500,163500,165500,24829
2018-06-04,168000,168000,174000,165500,170500,15622
2018-06-05,169000,169000,169500,164000,168000,6348
2018-06-07,167000,167000,173000,165500,170000,7307
2018-06-08,168000,168000,168500,163500,166000,7044
2018-06-11,166000,166000,169000,165500,169000,4438
2018-06-12,167500,167500,168500,165500,167500,6437
2018-06-14,168000,168000,169500,164500,167500,8170
2018-06-15,145000,145000,168000,145000,168000,57486
2018-06-18,134000,134000,147500,130000,146000,54040
2018-06-19,136000,136000,136500,127000,134500,59348
2018-06-20,143500,143500,145000,134500,138500,38740
2018-06-21,146500,146500,149000,140500,143500,23876
2018-06-22,143000,143000,147500,141000,147500,8943
2018-06-25,143500,143500,148000,142500,148000,11486
2018-06-26,140500,140500,143000,135000,140500,23231
2018-06-27,140000,140000,145000,139000,142000,5982
2018-06-28,140000,140000,141500,137500,138500,5210
2018-06-29,139500,139500,141500,136500,141000,6305
2018-07-02,136500,136500,143500,133500,141000,13610
2018-07-03,133000,133000,140000,133000,138000,7493
2018-07-04,132000,132000,134500,130500,133000,6654
2018-07-05,129000,129000,134500,126000,133000,9302
2018-07-06,133000,133000,135000,128000,130000,8155
2018-07-09,129500,129500,134000,124500,134000,18556
2018-07-10,135000,135000,135500,129500,131000,124168
2018-07-11,148000,148000,149500,135000,140500,28711
2018-07-12,147500,147500,152500,142500,145500,16673
2018-07-13,144000,144000,149000,142500,149000,12191
2018-07-16,141500,141500,145500,140000,144000,4427
2018-07-17,145500,145500,146500,140500,140500,6996
2018-07-18,143000,143000,145000,141500,144500,5593
2018-07-19,139000,139000,143500,136000,143500,4383
2018-07-20,127000,127000,135000,125000,135000,31016
2018-07-23,117000,117000,127500,117000,126500,14967
2018-07-24,116500,116500,119500,114000,115000,13693
2018-07-25,113500,113500,121000,112500,116000,14561
2018-07-26,111500,111500,115000,110500,114500,14382
2018-07-27,112500,112500,113000,107000,111500,19961
2018-07-30,110000,110000,113000,109000,113000,8315
2018-07-31,109000,109000,110500,108000,109000,8177
