Date,Adj Close,Close,High,Low,Open,Volume
2017-12-18,1985,1985,2000,1960,2000,25361
2017-12-19,1990,1990,1995,1985,1995,2461
2017-12-21,1995,1995,1995,1970,1995,23929
2017-12-22,1995,1995,1995,1975,1980,8447
2017-12-26,1995,1995,1995,1995,1995,0
2017-12-27,1995,1995,1995,1995,1995,0
2017-12-28,1980,1980,1985,1975,1985,7043
2018-01-02,1985,1985,1990,1975,1990,6407
2018-01-03,1985,1985,1985,1985,1985,0
2018-01-04,1990,1990,1990,1975,1990,3600
2018-01-05,1985,1985,1990,1975,1990,18764
2018-01-08,1990,1990,1990,1970,1985,52661
2018-01-09,1990,1990,1990,1990,1990,0
2018-01-10,1990,1990,1990,1990,1990,0
2018-01-11,1990,1990,1990,1990,1990,0
2018-01-12,1995,1995,2000,1990,1995,3868
2018-01-15,1995,1995,2000,1980,2000,3268
2018-01-16,1995,1995,1995,1995,1995,0
2018-01-17,1990,1990,1995,1975,1990,14248
2018-01-18,1985,1985,1990,1975,1980,13788
2018-01-19,1995,1995,2000,1980,1990,12420
2018-01-22,1995,1995,2000,1980,1985,20301
2018-01-23,2000,2000,2005,1980,1985,18742
2018-01-24,2000,2000,2005,1995,1995,11654
2018-01-25,2000,2000,2000,2000,2000,0
2018-01-26,2000,2000,2000,2000,2000,0
2018-01-29,1995,1995,2000,1985,2000,8545
2018-01-30,1995,1995,1995,1995,1995,0
2018-01-31,2000,2000,2000,1990,1990,942
2018-02-01,2000,2000,2000,2000,2000,1
2018-02-02,1995,1995,2000,1990,1995,3175
2018-02-05,2000,2000,2000,1990,2000,30509
2018-02-06,2000,2000,2005,1995,2005,3652
2018-02-07,2000,2000,2005,1995,2000,79635
2018-02-08,2000,2000,2005,1990,1990,36791
2018-02-09,2000,2000,2000,1990,1990,104
2018-02-12,2005,2005,2000,1990,1990,31956
2018-02-13,2005,2005,2005,1990,1990,1643
2018-02-14,2000,2000,2005,2000,2005,81
2018-02-19,2005,2005,2010,2000,2005,10185
2018-02-20,1995,1995,2035,1990,2030,35118
2018-02-21,1995,1995,2005,1995,2005,21611
2018-02-22,2000,2000,2010,2000,2000,1213
2018-02-23,2000,2000,2005,2000,2005,6269
2018-02-26,2000,2000,2010,2000,2000,26356
2018-02-27,2000,2000,2010,2000,2005,9729
2018-02-28,2005,2005,2010,2005,2005,2082
2018-03-02,2005,2005,2015,2005,2005,23501
2018-03-05,2010,2010,2015,2010,2010,13725
2018-03-06,2005,2005,2015,2005,2015,7289
2018-03-08,2010,2010,2015,2005,2015,2654
2018-03-09,2015,2015,2015,2005,2010,21623
2018-03-12,2015,2015,2015,2010,2010,12887
2018-03-13,2015,2015,2020,2005,2010,4441
2018-03-14,2010,2010,2010,2005,2010,162
2018-03-15,2015,2015,2015,2010,2010,2603
2018-03-16,2020,2020,2020,2015,2015,6880
2018-03-19,2015,2015,2020,2015,2015,6076
2018-03-20,2020,2020,2020,2005,2015,73603
2018-03-21,2020,2020,2020,2020,2020,2401
2018-03-22,2020,2020,2020,2010,2020,4807
2018-03-23,2015,2015,2020,2015,2020,4347
2018-03-26,2020,2020,2020,2010,2010,3634
2018-03-27,2020,2020,2020,2010,2015,15013
2018-03-28,2020,2020,2020,2010,2020,3005
2018-03-29,2015,2015,2015,2015,2015,5630
2018-03-30,2010,2010,2010,2010,2010,43231
2018-04-02,2015,2015,2015,2010,2010,25662
2018-04-03,2020,2020,2020,2010,2010,1970
2018-04-04,2010,2010,2020,2010,2010,6095
2018-04-05,2015,2015,2020,2010,2010,6116
2018-04-06,2015,2015,2020,2010,2015,5613
2018-04-09,2015,2015,2015,2010,2015,51524
2018-04-10,2025,2025,2025,2010,2020,128015
2018-04-11,2025,2025,2025,2020,2020,30295
2018-04-12,2025,2025,2025,2020,2020,52429
2018-04-13,2025,2025,2025,2020,2025,28642
2018-04-16,2025,2025,2030,2020,2025,22730
2018-04-17,2025,2025,2030,2020,2020,24796
2018-04-18,2030,2030,2030,2020,2020,27345
2018-04-19,2025,2025,2030,2020,2025,13867
2018-04-20,2025,2025,2030,2025,2030,23565
2018-04-23,2025,2025,2030,2020,2025,5007
2018-04-24,2025,2025,2030,2025,2025,19862
2018-04-25,2025,2025,2025,2020,2025,4415
2018-04-26,2030,2030,2030,2020,2025,25521
2018-04-27,2030,2030,2030,2020,2025,4430
2018-04-30,2025,2025,2025,2020,2025,9317
2018-05-02,2030,2030,2030,2025,2025,35909
2018-05-03,2030,2030,2030,2025,2025,8152
2018-05-04,2030,2030,2030,2025,2025,6174
2018-05-08,2030,2030,2030,2025,2030,63482
2018-05-09,2035,2035,2035,2030,2030,43852
2018-05-10,2035,2035,2035,2025,2035,42508
2018-05-11,2030,2030,2035,2030,2030,33161
2018-05-14,2035,2035,2035,2030,2030,96876
2018-05-15,2040,2040,2040,2030,2035,120331
2018-05-16,2045,2045,2045,2030,2040,127538
2018-05-17,2045,2045,2045,2040,2040,43954
2018-05-18,2045,2045,2045,2035,2045,92678
2018-05-21,2040,2040,2045,2040,2040,125072
2018-05-23,2045,2045,2045,2040,2045,63536
2018-05-24,2045,2045,2050,2040,2045,123202
2018-05-25,2050,2050,2055,2045,2050,54816
2018-05-28,2055,2055,2055,2045,2050,40696
2018-05-29,2055,2055,2060,2050,2055,49993
2018-05-30,2060,2060,2065,2050,2055,72031
2018-05-31,2065,2065,2070,2055,2060,20944
2018-06-01,2065,2065,2070,2060,2060,18730
2018-06-04,2065,2065,2065,2055,2065,28434
2018-06-05,2060,2060,2060,2050,2060,18549
2018-06-07,2055,2055,2060,2050,2055,23682
2018-06-08,2070,2070,2100,2050,2055,276532
