,cospi200
3,027410
4,282330
5,138930
6,001040
7,079160
8,000120
9,097950
10,005830
11,000990
12,007700
13,114090
14,078930
15,006360
16,007070
17,012630
18,294870
19,011200
20,001060
21,105560
22,002380
23,016380
24,030200
25,033780
26,093050
27,003550
28,034220
29,001120
30,051900
31,032640
32,011070
33,066570
34,108670
35,051910
36,079550
37,006260
38,010120
39,035420
40,005940
41,010060
42,005490
43,064960
44,034730
45,011790
46,001740
47,006120
48,096770
49,285130
50,017670
51,000660
52,010950
53,005610
54,035250
55,010130
56,002240
57,011780
58,073240
59,000270
60,024110
61,025860
62,002350
63,251270
64,006280
65,005250
66,004370
67,019680
68,000210
69,001680
70,047040
71,042660
72,069620
73,006650
74,003490
75,192080
76,001230
77,026960
78,000640
79,170900
80,049770
81,014820
82,000150
83,241560
84,042670
85,034020
86,115390
87,032350
88,023530
89,004000
90,004990
91,005300
92,011170
93,002270
94,071840
95,204320
96,008560
97,006800
98,003850
99,003000
100,005180
101,006400
102,028260
103,207940
104,032830
105,018260
106,028050
107,009150
108,005930
109,010140
110,016360
111,029780
112,000810
113,145990
114,000070
115,004490
116,001430
117,068270
118,004170
119,031430
120,055550
121,003410
122,002790
123,090430
124,020560
125,010780
126,018250
127,012750
128,036570
129,111770
130,003520
131,000670
132,007310
133,271560
134,001800
135,316140
136,014830
137,000100
138,214320
139,139480
140,007570
141,020150
142,030000
143,185750
144,035720
145,192820
146,120110
147,021240
148,192400
149,284740
150,003240
151,009410
152,028670
153,047050
154,003670
155,103140
156,086790
157,000080
158,036460
159,071050
160,015760
161,009540
162,161890
163,161390
164,000240
165,047810
166,060980
167,008930
168,128940
169,009240
170,020000
171,105630
172,014680
173,018880
174,009420
175,006390
176,051600
177,052690
178,180640
179,000880
180,088350
181,009830
182,012450
183,000720
184,005440
185,086280
186,064350
187,012330
188,010620
189,069960
190,017800
191,011210
192,004020
193,267250
194,005380
195,001450
196,057050
197,008770
198,241590
199,004800
200,093370
201,081660
202,069260
