date,open,high,low,close,volume,adjclose
2020-08-13,1625,1815,1610,1655,616056,1655
2020-08-12,1650,1670,1575,1625,113652,1625
2020-08-11,1705,1725,1575,1650,337382,1650
2020-08-10,1725,1820,1705,1745,432882,1745
2020-08-07,1575,1980,1570,1735,1977268,1735
2020-08-06,1610,1650,1530,1600,318563,1600
2020-08-05,1475,1620,1470,1595,855103,1595
2020-08-04,1395,1530,1370,1475,526094,1475
2020-08-03,1410,1425,1365,1405,269219,1405
2020-07-31,1445,1450,1360,1410,417608,1410
2020-07-30,1610,1610,1420,1450,681942,1450
2020-07-29,1730,1780,1465,1500,3744043,1500
2020-07-28,1385,1425,1340,1415,283294,1415
2020-07-27,1355,1390,1335,1385,92052,1385
2020-07-24,1445,1455,1325,1355,389604,1355
2020-07-23,1445,1460,1400,1460,223176,1460
2020-07-22,1380,1445,1335,1440,306678,1440
2020-07-21,1360,1410,1350,1380,160871,1380
2020-07-20,1305,1365,1285,1340,195072,1340
2020-07-17,1285,1375,1260,1315,307181,1315
2020-07-16,1320,1320,1255,1290,103500,1290
2020-07-15,1255,1480,1190,1310,1097879,1310
2020-07-14,1215,1250,1200,1225,73959,1225
2020-07-13,1195,1255,1185,1200,81411,1200
2020-07-10,1180,1235,1180,1190,45609,1190
2020-07-09,1205,1245,1190,1195,31690,1195
2020-07-08,1225,1245,1205,1205,24876,1205
2020-07-07,1245,1255,1215,1215,51373,1215
2020-07-06,1275,1280,1235,1245,39096,1245
2020-07-03,1320,1320,1225,1275,130223,1275
