Date,open,high,low,close,volume,adjclose
2018-08-14,3115,3220,3065,3145,467223,3145
2018-08-13,3250,3810,3130,3130,4191188,3130
2018-08-10,3220,3255,3165,3185,56395,3185
2018-08-09,3255,3255,3145,3210,26885,3210
2018-08-08,3185,3290,3170,3230,57868,3230
2018-08-07,3240,3240,3150,3165,32712,3165
2018-08-06,3215,3255,3170,3225,39509,3225
2018-08-03,3200,3225,3155,3210,45354,3210
2018-08-02,3190,3195,3080,3145,54224,3145
2018-08-01,3140,3195,3140,3175,25099,3175
2018-07-31,3200,3245,3080,3140,55342,3140
2018-07-30,3190,3255,3160,3200,68727,3200
2018-07-27,3225,3255,3170,3215,70718,3215
2018-07-26,3045,3245,3045,3225,102068,3225
2018-07-25,3125,3145,3025,3085,76703,3085
2018-07-24,2960,3130,2960,3120,68863,3120
2018-07-23,3015,3175,2970,3000,248799,3000
2018-07-20,3140,3180,3050,3050,125170,3050
2018-07-19,3100,3180,3100,3125,91197,3125
2018-07-18,3240,3255,3115,3115,124237,3115
2018-07-17,3220,3275,3150,3240,89601,3240
2018-07-16,3205,3265,3180,3190,67222,3190
2018-07-13,3165,3260,3155,3255,118639,3255
2018-07-12,3200,3265,3155,3180,80324,3180
2018-07-11,3125,3240,3125,3215,117156,3215
2018-07-10,3045,3195,3000,3160,254268,3160
2018-07-09,3085,3090,3015,3040,202026,3040
2018-07-06,3205,3220,3095,3160,165688,3160
2018-07-05,3220,3400,3165,3225,393115,3225
2018-07-04,3165,3245,3105,3195,218589,3195
