Date,Open,High,Low,Close,Volume,Adj Close
2018-10-26,1940,1990,1810,1810,435922,1810
2018-01-31,2570,2635,2535,2600,763452,2600
2018-01-30,2675,2685,2575,2585,878135,2585
2018-01-29,2650,2695,2640,2655,665888,2655
2018-01-26,2650,2660,2625,2635,452220,2635
2018-01-25,2595,2640,2565,2635,672553,2635
2018-01-24,2595,2690,2570,2570,1195382,2570
2018-01-23,2570,2685,2535,2575,1234018,2575
2018-01-22,2590,2635,2540,2555,996284,2555
2018-01-19,2530,2570,2510,2545,409208,2545
2018-01-18,2560,2565,2505,2545,439474,2545
2018-01-17,2525,2555,2500,2550,518242,2550
2018-01-16,2440,2535,2440,2525,717268,2525
2018-01-15,2500,2590,2450,2455,1246504,2455
2018-01-12,2460,2485,2400,2440,779682,2440
2018-01-11,2380,2610,2365,2485,2560438,2485
2018-01-10,2400,2410,2325,2355,312804,2355
2018-01-09,2405,2440,2375,2380,334734,2380
2018-01-08,2465,2465,2385,2400,387840,2400
2018-01-05,2385,2430,2365,2410,274442,2410
2018-01-04,2400,2435,2375,2375,383441,2375
2018-01-03,2335,2425,2320,2420,484341,2420
2018-01-02,2310,2360,2295,2345,216300,2345
2017-12-28,2295,2345,2295,2315,222031,2315
2017-12-27,2300,2310,2280,2285,174356,2285
2017-12-26,2270,2320,2250,2280,280248,2280
2017-12-22,2205,2255,2200,2245,216234,2245
2017-12-21,2255,2270,2200,2200,270041,2200
2017-12-19,2365,2385,2200,2305,393180,2305
2017-12-18,2345,2440,2320,2365,302084,2365
