,open,high,low,close,volume,adjclose
2020-07-20,33350,34850,32000,34850,369630,34850
2020-07-17,33850,34250,32700,33500,260666,33500
2020-07-16,32200,33500,31400,33250,461578,33250
2020-07-15,31400,32800,31000,31950,538457,31950
2020-07-14,33050,33300,30150,30200,749190,30200
2020-07-13,29250,33300,29150,32300,1331243,32300
2020-07-10,29500,29500,28600,28950,190664,28950
2020-07-09,29700,29700,28600,29200,339999,29200
2020-07-08,28500,28750,27800,28700,168008,28700
2020-07-07,29100,29550,28200,28650,304483,28650
2020-07-06,28250,29400,27200,29100,371530,29100
2020-07-03,28600,28650,27700,27950,164362,27950
2020-07-02,28000,28850,26550,28700,300327,28700
2020-07-01,29300,29600,27100,27650,381031,27650
2020-06-30,29750,30000,28100,28900,355208,28900
2020-06-29,27350,29250,27150,29000,390835,29000
2020-06-26,29200,30350,28050,28300,762031,28300
2020-06-25,27000,28800,26800,28100,557431,28100
2020-06-24,27750,29600,26800,27550,1094849,27550
2020-06-23,24650,29800,24350,27450,2956157,27450
2020-06-22,23550,25150,23400,24050,336409,24050
2020-06-19,24300,24300,23250,23250,126705,23250
2020-06-18,23300,24100,23250,24000,149306,24000
2020-06-17,23900,23900,23150,23150,170582,23150
2020-06-16,24700,25300,23100,24300,764604,24300
2020-06-15,25850,26900,22000,24000,2259202,24000
2020-06-12,19250,25200,18550,22700,1509576,22700
2020-06-11,19600,22550,19500,20250,1072701,20250
2020-06-10,19550,19850,18900,19300,199621,19300
2020-06-09,18550,19550,18400,19500,455836,19500
