Date,Open,High,Low,Close,Volume,Adj_Close
2021-03-17,360000,373500,354000,364000,167555,364000
2021-03-16,345000,362500,340500,357500,227556,357500
2021-03-15,324000,354000,318500,347500,301832,347500
2021-03-12,313000,318500,305500,314500,107577,314500
2021-03-11,294000,309000,294000,306500,105199,306500
2021-03-10,309500,312500,294000,294000,104779,294000
2021-03-09,303000,307500,286500,303000,163398,303000
2021-03-08,319500,326500,306000,306000,135130,306000
2021-03-05,324000,330500,309000,322000,243581,322000
2021-03-04,305000,335000,302500,326000,446327,326000
2021-03-03,293000,311000,292000,299500,186479,299500
2021-03-02,301000,301500,290000,293000,101215,293000
2021-02-26,284500,300500,283000,292500,117671,292500
2021-02-25,290000,294000,283500,293000,82935,293000
2021-02-24,299000,301000,279500,282000,140221,282000
2021-02-23,277500,298500,273500,296500,191533,296500
2021-02-22,299500,300000,286000,286000,121876,286000
2021-02-19,306500,307000,291500,300000,152110,300000
2021-02-18,312500,316000,301000,308000,125292,308000
2021-02-17,301000,331000,300500,316000,258763,316000
2021-02-16,305000,307000,297500,302500,125234,302500
2021-02-15,305000,310000,299000,305000,141892,305000
2021-02-10,287500,306000,286000,305000,185740,305000
2021-02-09,297000,299000,282500,293500,193071,293500
2021-02-08,308500,317500,292000,292500,304090,292500
2021-02-05,305000,309500,291500,309500,335300,309500
2021-02-04,286000,305500,282000,294000,322714,294000
2021-02-03,279500,315000,275000,285000,701975,285000
2021-02-02,288000,288000,270000,281000,379627,281000
2021-02-01,238500,289000,229000,276000,1276187,276000
