,Adj Close,Close,High,Low,Open,Volume
2011-12-16,3205,7650,4500,3825,4500,6320360
2011-12-19,2786,6650,3890,3255,3890,2787634
2011-12-20,2895,6910,3595,3360,3375,1353758
2011-12-21,3142,7500,3965,3555,3580,1619224
2011-12-22,3016,7200,3800,3475,3775,1380462
2011-12-23,3075,7340,3705,3600,3600,381700
2011-12-26,3016,7200,3740,3580,3740,345656
2011-12-27,3100,7400,3775,3425,3610,1733378
2011-12-28,3251,7550,3950,3715,3750,957262
2011-12-29,3268,7590,3840,3715,3750,269290
2012-01-02,3156,7330,3815,3615,3735,388448
2012-01-03,3173,7370,3750,3625,3725,385626
2012-01-04,3389,7870,3975,3660,3685,1145266
2012-01-05,3608,8380,4190,3900,3950,642714
2012-01-06,3445,8000,4190,3925,4190,404336
2012-01-09,3384,7860,4000,3865,4000,241746
2012-01-10,3367,7820,3985,3900,3985,162046
2012-01-11,3522,8180,4125,3865,3950,612984
2012-01-12,3522,8180,4265,4050,4090,812720
2012-01-13,3621,8410,4230,4000,4075,469820
2012-01-16,3621,8410,4290,4085,4205,366074
2012-01-17,3608,8380,4235,4150,4210,238692
2012-01-18,3604,8370,4335,4120,4190,512580
2012-01-19,3643,8460,4255,4090,4195,397242
2012-01-20,3716,8630,4400,4205,4230,362020
2012-01-25,3656,8490,4425,4245,4325,299752
2012-01-26,3660,8500,4325,4175,4245,123780
2012-01-27,3712,8620,4320,4190,4190,209100
2012-01-30,3707,8610,4350,4235,4300,161400
2012-01-31,3673,8530,4350,4235,4260,102780
2012-02-01,3578,8310,4265,4155,4245,252582
2012-02-02,3445,8000,4210,3980,4160,470014
2012-02-03,3402,7900,4020,3910,3940,242190
2012-02-06,3445,8000,4020,3845,3980,225996
2012-02-07,3333,7740,4025,3825,4000,316020
2012-02-08,3333,7740,3935,3840,3935,127552
2012-02-09,3522,8180,4110,3730,3860,470918
2012-02-10,3509,8150,4150,4035,4095,157840
2012-02-13,3501,8130,4085,4020,4075,101440
2012-02-14,3535,8210,4165,4015,4080,287892
2012-02-15,3746,8700,4385,4080,4100,776900
2012-02-16,3897,9050,4915,4405,4450,1879890
2012-02-17,4146,9630,4930,4545,4875,1609470
2012-02-20,4258,9890,5025,4650,4900,1649114
2012-02-21,4047,9400,5050,4690,5000,811500
2012-02-22,3897,9050,4775,4500,4745,532162
2012-02-23,4013,9320,4725,4400,4475,385396
2012-02-24,4017,9330,4795,4605,4660,444930
2012-02-27,4095,9510,5350,4750,4950,4112184
2012-02-28,3940,9150,4715,4425,4675,769400
2012-02-29,3918,9100,4600,4435,4600,616006
2012-03-02,3836,8910,4525,4410,4515,277262
2012-03-05,3759,8730,4550,4350,4455,328432
2012-03-06,3638,8450,4410,4155,4330,422246
2012-03-07,3617,8400,4230,4085,4090,195442
2012-03-08,3582,8320,4255,4155,4250,230006
2012-03-09,3613,8390,4235,4125,4170,232744
2012-03-12,3729,8660,4400,4195,4200,299120
2012-03-13,3845,8930,4495,4355,4355,297840
2012-03-14,3832,8900,4535,4380,4495,111946
2012-03-15,3780,8780,4510,4350,4510,234458
2012-03-16,3712,8620,4435,4225,4390,160842
2012-03-19,3712,8620,4360,4205,4310,185192
2012-03-20,3768,8750,4415,4290,4310,281560
2012-03-21,3724,8650,4425,4280,4370,190680
2012-03-22,3656,8490,4325,4125,4285,310462
2012-03-23,3617,8400,4235,4105,4175,156788
2012-03-26,3509,8150,4210,4075,4205,250876
2012-03-27,3492,8110,4130,4050,4130,152860
2012-03-28,3414,7930,4045,3925,4000,296050
2012-03-29,3445,8000,4000,3885,3960,142610
2012-03-30,3634,8440,4350,4080,4100,294340
2012-04-02,3617,8400,4265,4125,4230,103500
2012-04-03,3557,8260,4230,4055,4160,138760
2012-04-04,3574,8300,4150,3990,4075,196120
2012-04-05,3630,8430,4215,3995,4130,67514
2012-04-06,4146,9630,4835,4150,4200,1616452
2012-04-09,4258,9890,5100,4585,4700,1226076
2012-04-10,3884,9020,5025,4510,4950,917544
