Date,Open,High,Low,Close,Adj Close,Volume
2010-07-23,1395,1450,1190,1190,1190,22761352
2010-07-26,1215,1220,1115,1145,1145,11345279
2010-07-27,1175,1315,1170,1195,1195,19364046
2010-07-28,1195,1235,1155,1170,1170,6463721
2010-07-29,1210,1215,1130,1140,1140,3520378
2010-07-30,1165,1170,1105,1110,1110,3028352
2010-08-02,1115,1140,1085,1095,1095,2233408
2010-08-03,1115,1115,1015,1030,1030,2850559
2010-08-04,1035,1165,1020,1065,1065,7224554
2010-08-05,990,1045,970,980,980,4134930
2010-08-06,985,1055,955,980,980,4848926
2010-08-09,985,1030,975,995,995,2846416
2010-08-10,995,1025,985,995,995,2203490
2010-08-11,1000,1120,985,1020,1020,9852001
2010-08-12,1005,1140,1000,1075,1075,6479407
2010-08-13,1075,1205,1050,1070,1070,9986821
2010-08-16,1090,1120,1070,1080,1080,2433350
2010-08-17,1095,1115,1070,1070,1070,1846879
2010-08-18,1090,1105,1035,1040,1040,2083063
2010-08-19,1050,1055,1005,1015,1015,1651148
2010-08-20,1025,1045,1015,1015,1015,1494478
2010-08-23,1025,1045,1005,1005,1005,1308204
2010-08-24,1005,1025,1005,1015,1015,979862
2010-08-25,1000,1025,975,980,980,1488430
2010-08-26,995,1000,950,955,955,949996
2010-08-27,940,950,915,930,930,1398840
2010-08-30,945,955,920,920,920,922954
2010-08-31,930,970,925,925,925,1883649
2010-09-01,945,955,925,935,935,1011382
2010-09-02,950,955,930,935,935,516921
2010-09-03,935,990,900,970,970,3434795
2010-09-06,1015,1035,940,940,940,2649910
2010-09-07,945,955,925,925,925,999291
2010-09-08,930,935,915,915,915,581147
2010-09-09,920,930,910,920,920,478632
2010-09-10,920,935,915,915,915,643542
2010-09-13,920,925,900,905,905,1021619
2010-09-14,910,910,880,880,880,1523442
2010-09-15,885,895,845,855,855,1173819
2010-09-16,860,870,850,855,855,771460
2010-09-17,875,930,870,910,910,2798992
2010-09-20,915,970,915,935,935,1649265
2010-09-24,950,965,920,930,930,706610
2010-09-27,935,955,930,940,940,684758
2010-09-28,950,960,930,940,940,577815
2010-09-29,940,955,935,935,935,396305
2010-09-30,930,945,895,915,915,779806
2010-10-01,920,935,910,925,925,1023541
2010-10-04,947,984,932,932,932,1584153
2010-10-05,926,945,916,924,924,448398
2010-10-06,926,935,920,920,920,357428
2010-10-07,912,932,890,899,899,600322
2010-10-08,899,914,896,913,913,442526
2010-10-11,923,1040,923,1020,1020,3163463
2010-10-12,1030,1045,980,982,982,1271651
2010-10-13,994,997,964,972,972,818019
2010-10-14,973,1030,973,1005,1005,908652
2010-10-15,1000,1025,989,1000,1000,601133
2010-10-18,1000,1020,996,996,996,724673
2010-10-19,997,1005,976,976,976,539011
2010-10-20,972,975,957,975,975,604041
2010-10-21,983,1035,980,1005,1005,1031501
2010-10-22,1005,1015,994,1010,1010,616025
2010-10-25,1040,1160,1040,1160,1160,6433392
2010-10-26,1200,1245,1160,1180,1180,7623576
2010-10-27,1195,1310,1190,1200,1200,6661919
2010-10-28,1220,1255,1170,1220,1220,3913380
2010-10-29,1250,1400,1250,1400,1400,15489832
2010-11-01,1480,1610,1460,1610,1610,15803638
2010-11-02,1710,1850,1675,1710,1710,26258040
2010-11-03,1715,1830,1680,1765,1765,13222582
2010-11-04,1750,1810,1655,1740,1740,12044398
2010-11-05,1755,1785,1480,1480,1480,10735707
2010-11-08,1445,1460,1315,1380,1380,10336122
2010-11-09,1395,1445,1270,1310,1310,10469498
2010-11-10,1345,1390,1280,1310,1310,9175918
2010-11-11,1330,1435,1325,1350,1350,13589066
2010-11-12,1350,1370,1150,1150,1150,9669666
2010-11-15,1145,1190,1110,1180,1180,4710883
2010-11-16,1180,1190,1110,1130,1130,3436464
2010-11-17,1105,1255,1100,1175,1175,6055169
2010-11-18,1195,1225,1170,1180,1180,2010189
2010-11-19,1200,1265,1175,1220,1220,3758552
2010-11-22,1235,1265,1190,1205,1205,2134413
2010-11-23,1210,1220,1135,1135,1135,2164158
2010-11-24,1050,1115,1045,1085,1085,2113237
2010-11-25,1115,1140,1100,1100,1100,1612099
2010-11-26,1115,1120,994,1000,1000,2309919
2010-11-29,995,1025,995,1015,1015,1107635
2010-11-30,1020,1055,999,1015,1015,1073753
2010-12-01,1015,1085,1015,1070,1070,1514106
2010-12-02,1095,1125,1075,1100,1100,1159595
2010-12-03,1135,1145,1095,1095,1095,810979
2010-12-06,1085,1170,1060,1150,1150,2543069
2010-12-07,1160,1180,1120,1120,1120,975909
2010-12-08,1140,1140,1080,1085,1085,940413
2010-12-09,1095,1120,1060,1080,1080,836175
2010-12-10,1080,1100,1075,1080,1080,660769
2010-12-13,1085,1135,1085,1130,1130,920603
2010-12-14,1165,1170,1135,1140,1140,1438596
2010-12-15,1150,1170,1115,1165,1165,1658945
2010-12-16,1175,1175,1125,1140,1140,837169
2010-12-17,1130,1160,1110,1110,1110,855708
2010-12-20,1080,1080,1015,1040,1040,1088802
2010-12-21,1065,1080,1055,1075,1075,671387
2010-12-22,1070,1145,1065,1140,1140,940498
2010-12-23,1130,1160,1110,1110,1110,857217
2010-12-24,1135,1135,1085,1085,1085,520583
2010-12-27,1075,1095,1055,1060,1060,502727
2010-12-28,1070,1215,1050,1215,1215,3413487
2010-12-29,1215,1225,1120,1140,1140,4769942
2010-12-30,1150,1160,1080,1100,1100,1546864
2011-01-03,1110,1155,1105,1150,1150,1723518
2011-01-04,1215,1320,1215,1320,1320,2851387
2011-01-05,1370,1490,1325,1350,1350,13092540
2011-01-06,1380,1435,1265,1310,1310,7225362
2011-01-07,1315,1440,1300,1350,1350,5943363
2011-01-10,1340,1385,1280,1280,1280,2495287
2011-01-11,1290,1470,1250,1470,1470,7831483
2011-01-12,1530,1555,1300,1300,1300,14024777
2011-01-13,1315,1380,1225,1275,1275,6103723
2011-01-14,1280,1320,1255,1260,1260,2013662
2011-01-17,1255,1290,1230,1265,1265,1743563
2011-01-18,1240,1275,1180,1185,1185,2045053
2011-01-19,1205,1265,1195,1195,1195,1811166
2011-01-20,1205,1225,1195,1205,1205,988771
2011-01-21,1220,1315,1215,1250,1250,2973663
2011-01-24,1260,1295,1220,1220,1220,1160537
2011-01-25,1230,1255,1170,1175,1175,1350866
2011-01-26,1165,1185,1135,1140,1140,1108537
2011-01-27,1155,1155,1115,1120,1120,975738
2011-01-28,1130,1175,1130,1130,1130,859619
2011-01-31,1115,1165,1115,1125,1125,580027
2011-02-01,1150,1180,1140,1155,1155,565774
2011-02-07,1170,1175,1140,1160,1160,534844
2011-02-08,1160,1180,1140,1140,1140,704319
2011-02-09,1155,1165,1110,1110,1110,875917
2011-02-10,1110,1135,1090,1115,1115,679623
2011-02-11,1130,1155,1105,1115,1115,673366
2011-02-14,1120,1160,1100,1155,1155,1025140
2011-02-15,1165,1240,1145,1175,1175,2951637
2011-02-16,1185,1240,1175,1210,1210,1585478
2011-02-17,1230,1235,1150,1160,1160,1051219
2011-02-18,1155,1185,1145,1180,1180,610007
2011-02-21,1200,1220,1155,1155,1155,828929
2011-02-22,1160,1160,1125,1130,1130,817251
2011-02-23,1125,1135,1055,1070,1070,1041284
2011-02-24,1055,1065,1015,1020,1020,1236004
2011-02-25,1030,1040,1010,1035,1035,591072
2011-02-28,1025,1050,977,977,977,1123958
2011-03-02,954,1010,954,1005,1005,386159
2011-03-03,1010,1020,993,999,999,417897
2011-03-04,1005,1045,999,1045,1045,450861
2011-03-07,1035,1050,999,1015,1015,385510
2011-03-08,1015,1070,1015,1040,1040,575411
2011-03-09,1050,1065,1030,1045,1045,419016
2011-03-10,1055,1060,1010,1020,1020,439517
2011-03-11,995,1015,990,1005,1005,730913
2011-03-14,996,999,950,973,973,411159
2011-03-15,970,981,890,921,921,417132
2011-03-16,905,954,905,937,937,379191
2011-03-17,949,949,900,935,935,210171
2011-03-18,940,973,940,950,950,246827
2011-03-21,970,1000,960,985,985,306972
2011-03-22,1015,1015,974,979,979,259440
2011-03-23,995,1000,976,979,979,273099
2011-03-24,985,990,960,967,967,320159
2011-03-25,980,980,928,941,941,722709
2011-03-28,945,968,930,930,930,432824
2011-03-29,932,942,910,914,914,404306
2011-03-30,929,929,912,915,915,362157
2011-03-31,917,935,917,930,930,212654
2011-04-01,934,957,934,953,953,286032
2011-04-04,959,968,950,952,952,210913
2011-04-05,965,965,941,954,954,295825
2011-04-06,954,959,932,950,950,336828
2011-04-07,980,1090,977,1090,1090,9089236
2011-04-08,1100,1115,1005,1010,1010,4225757
2011-04-11,1020,1040,999,1030,1030,1146740
2011-04-12,1045,1165,1025,1070,1070,5834135
2011-04-13,1065,1135,1060,1070,1070,2167322
2011-04-14,1075,1080,1020,1030,1030,1042945
2011-04-15,1040,1110,1030,1055,1055,1803598
2011-04-18,1075,1120,1045,1060,1060,1208309
2011-04-19,1035,1065,991,1000,1000,1132028
2011-04-20,1015,1020,990,998,998,708965
2011-04-21,1010,1030,997,1000,1000,808892
2011-04-22,1010,1010,935,938,938,1062591
2011-04-25,942,955,925,925,925,436082
2011-04-26,926,934,895,905,905,625052
2011-04-27,905,939,905,927,927,438832
2011-04-28,926,933,905,906,906,273922
2011-04-29,920,920,900,901,901,185821
2011-05-02,910,910,899,903,903,172339
2011-05-03,909,909,890,893,893,230341
2011-05-04,894,906,889,891,891,126139
2011-05-06,888,895,870,885,885,176666
2011-05-09,885,895,876,880,880,121298
2011-05-11,856,885,856,880,880,268130
2011-05-12,877,881,866,870,870,184438
2011-05-13,861,873,857,867,867,255991
2011-05-16,867,870,859,861,861,193022
2011-05-17,860,895,859,870,870,152289
2011-05-18,865,885,863,863,863,110262
2011-05-19,865,879,850,853,853,208281
2011-05-20,853,870,844,867,867,181672
2011-05-23,866,870,800,840,840,221441
2011-05-24,806,826,800,813,813,270067
2011-05-25,814,825,780,785,785,272805
2011-05-26,781,798,763,766,766,438868
2011-05-27,774,774,751,755,755,390587
2011-05-30,751,762,750,756,756,141049
2011-05-31,756,794,756,772,772,197940
2011-06-01,776,790,773,780,780,124277
2011-06-02,773,780,746,750,750,245857
2011-06-03,752,760,705,707,707,247084
2011-06-07,685,720,685,707,707,150196
2011-06-08,703,734,703,716,716,133455
2011-06-09,717,729,712,721,721,141775
2011-06-10,721,734,713,724,724,76520
2011-06-13,720,723,686,691,691,103284
2011-06-14,688,704,688,695,695,69669
2011-06-15,699,712,699,709,709,47041
2011-06-16,709,709,666,681,681,89530
2011-06-17,683,693,660,664,664,128847
2011-06-20,664,679,611,611,611,281307
2011-06-21,630,636,609,620,620,145020
2011-06-22,620,650,620,630,630,148262
2011-06-23,632,648,630,635,635,166415
2011-06-24,633,650,633,646,646,108271
2011-06-27,641,651,635,641,641,91465
2011-06-28,640,652,639,642,642,130858
2011-06-29,645,667,642,665,665,151661
2011-06-30,672,709,671,680,680,232499
