,Adj Close,Close,High,Low,Open,Volume
1997-07-01,758,758,760,744,744,0
1997-07-02,777,777,777,763,763,0
1997-07-03,775,775,782,773,778,0
1997-07-04,781,781,783,773,776,0
1997-07-07,773,773,783,772,781,0
1997-07-08,767,767,774,761,773,0
1997-07-09,771,771,772,763,768,0
1997-07-10,767,767,773,765,771,0
1997-07-11,768,768,771,762,766,0
1997-07-14,764,764,770,763,768,0
1997-07-15,755,755,764,748,762,0
1997-07-16,739,739,750,737,750,0
1997-07-18,747,747,748,736,737,0
1997-07-21,740,740,747,736,747,0
1997-07-22,725,725,741,723,740,0
1997-07-23,730,730,730,721,723,0
1997-07-24,739,739,739,724,729,0
1997-07-25,733,733,746,733,739,0
1997-07-28,733,733,738,730,733,0
1997-07-29,732,732,734,731,733,0
1997-07-30,726,726,736,726,733,0
1997-07-31,726,726,726,721,724,0
1997-08-01,731,731,735,726,726,0
1997-08-04,734,734,734,728,731,0
1997-08-05,740,740,740,733,734,0
1997-08-06,745,745,745,739,740,0
1997-08-07,745,745,748,743,746,0
1997-08-08,752,752,752,745,745,0
1997-08-11,765,765,766,753,754,0
1997-08-12,762,762,766,761,766,0
1997-08-13,762,762,766,760,762,0
1997-08-14,755,755,762,753,762,0
1997-08-18,747,747,754,745,754,0
1997-08-19,741,741,747,737,746,0
1997-08-20,746,746,749,735,741,0
1997-08-21,739,739,746,739,745,0
1997-08-22,736,736,742,729,738,0
1997-08-25,741,741,746,738,739,0
1997-08-26,734,734,740,731,740,0
1997-08-27,730,730,735,730,732,0
1997-08-28,716,716,731,716,729,0
1997-08-29,704,704,718,704,714,0
1997-09-01,682,682,701,682,701,0
1997-09-02,688,688,688,671,679,0
1997-09-03,688,688,697,687,690,0
1997-09-04,687,687,690,682,687,0
1997-09-05,700,700,701,686,688,0
1997-09-08,697,697,703,696,701,0
1997-09-09,688,688,694,687,694,0
1997-09-10,691,691,691,685,687,0
1997-09-11,695,695,695,687,690,0
1997-09-12,699,699,699,693,694,0
1997-09-15,699,699,701,697,698,0
1997-09-18,701,701,705,700,700,0
1997-09-19,689,689,700,689,700,0
1997-09-22,668,668,688,666,688,0
1997-09-23,654,654,666,654,666,0
1997-09-24,655,655,658,645,653,0
1997-09-25,647,647,658,643,655,0
1997-09-26,638,638,645,637,644,0
1997-09-29,625,625,637,622,637,0
1997-09-30,647,647,647,623,623,0
1997-10-01,644,644,654,644,646,0
1997-10-02,636,636,647,633,644,0
1997-10-06,644,644,655,632,634,0
1997-10-07,630,630,642,629,642,0
1997-10-08,610,610,627,610,627,0
1997-10-09,609,609,616,601,607,0
1997-10-10,609,609,616,607,612,0
1997-10-13,613,613,620,609,609,0
1997-10-14,620,620,627,617,619,0
1997-10-15,604,604,621,602,621,0
1997-10-16,579,579,598,573,598,0
1997-10-17,585,585,592,564,577,0
1997-10-20,565,565,589,561,586,0
1997-10-21,566,566,582,554,559,0
