,Adj Close,Close,High,Low,Open,Volume
2013-03-04,537,537,539,537,538,372100
2013-03-05,543,543,544,540,540,455100
2013-03-06,544,544,547,542,547,486300
2013-03-07,541,541,545,538,545,509600
2013-03-08,543,543,544,539,542,0
2013-03-15,554,554,556,553,556,0
2013-03-22,551,551,551,546,546,0
2013-04-05,547,547,558,543,556,0
2013-04-08,528,528,548,528,547,459600
2013-04-09,528,528,535,517,526,494100
2013-04-10,534,534,534,527,530,395900
2013-04-11,544,544,544,535,540,440500
2013-04-12,547,547,551,546,547,0
2013-04-15,553,553,554,549,550,417300
2013-04-16,558,558,558,548,548,437500
2013-04-17,558,558,563,556,562,467400
2013-04-18,551,551,558,551,556,416500
2013-04-19,541,541,551,540,549,448200
2013-04-25,559,559,565,559,564,0
2013-04-26,565,565,565,562,562,0
2013-04-30,563,563,570,562,570,0
2013-05-03,565,565,565,559,563,0
2013-05-10,569,569,574,569,574,0
2013-05-16,566,566,568,565,568,0
2013-05-24,574,574,574,569,572,0
2013-05-31,577,577,583,571,583,0
2013-06-05,549,549,560,549,560,0
2013-06-07,535,535,551,531,550,0
2013-06-14,536,536,546,534,545,0
2013-06-21,520,520,520,507,513,0
2013-06-28,519,519,519,514,516,0
2013-07-05,525,525,529,522,528,0
2013-07-12,532,532,532,528,530,0
2013-07-19,541,541,546,540,545,0
2013-07-26,545,545,545,542,543,0
2013-07-29,540,540,547,540,547,0
2013-07-30,546,546,546,542,542,366000
2013-07-31,554,554,554,547,548,354800
2013-08-01,549,549,557,549,557,328000
2013-08-02,551,551,554,549,553,336300
2013-08-05,556,556,556,553,553,342500
2013-08-06,557,557,558,554,558,347100
2013-08-07,554,554,559,554,556,352900
2013-08-08,555,555,558,555,556,341200
2013-08-09,554,554,557,553,556,349800
2013-08-12,550,550,555,549,555,376500
2013-08-13,550,550,552,548,552,459800
2013-08-14,550,550,554,550,553,419700
2013-08-16,548,548,549,544,544,397000
2013-08-19,550,550,551,549,550,396200
2013-08-20,537,537,551,537,550,516300
2013-08-21,530,530,540,523,540,503900
2013-08-22,517,517,525,514,524,461300
